BLOCK,PLOT,SUBPLOT,Latitude,Longitude,TREATMENT
C,1,16,18.32257391,-65.81354996,NoTrim+Debris
C,2,1,18.32257177,-65.81303078,Trim+Debris
C,2,2,18.32257177,-65.81303078,Trim+Debris
C,2,3,18.32257177,-65.81303078,Trim+Debris
C,2,4,18.32257177,-65.81303078,Trim+Debris
C,2,5,18.32257177,-65.81303078,Trim+Debris
C,2,6,18.32257177,-65.81303078,Trim+Debris
C,2,7,18.32257177,-65.81303078,Trim+Debris
C,2,8,18.32257177,-65.81303078,Trim+Debris
C,2,9,18.32257177,-65.81303078,Trim+Debris
C,2,10,18.32257177,-65.81303078,Trim+Debris
C,2,11,18.32257177,-65.81303078,Trim+Debris
C,2,12,18.32257177,-65.81303078,Trim+Debris
C,2,13,18.32257177,-65.81303078,Trim+Debris
C,2,14,18.32257177,-65.81303078,Trim+Debris
C,2,15,18.32257177,-65.81303078,Trim+Debris
C,2,16,18.32257177,-65.81303078,Trim+Debris
C,3,1,18.3226,-65.8124,Trim&clear
C,3,2,18.3226,-65.8124,Trim&clear
C,3,3,18.3226,-65.8124,Trim&clear
C,3,4,18.3226,-65.8124,Trim&clear
C,3,5,18.3226,-65.8124,Trim&clear
C,3,6,18.3226,-65.8124,Trim&clear
C,3,7,18.3226,-65.8124,Trim&clear
C,3,8,18.3226,-65.8124,Trim&clear
C,3,9,18.3226,-65.8124,Trim&clear
C,3,10,18.3226,-65.8124,Trim&clear
C,3,11,18.3226,-65.8124,Trim&clear
C,3,12,18.3226,-65.8124,Trim&clear
C,3,13,18.3226,-65.8124,Trim&clear
C,3,14,18.3226,-65.8124,Trim&clear
C,3,15,18.3226,-65.8124,Trim&clear
C,3,16,18.3226,-65.8124,Trim&clear
C,4,1,18.32318512,-65.81150695,Control
C,4,2,18.32318512,-65.81150695,Control
C,4,3,18.32318512,-65.81150695,Control
C,4,4,18.32318512,-65.81150695,Control
C,4,5,18.32318512,-65.81150695,Control
C,4,6,18.32318512,-65.81150695,Control
C,4,7,18.32318512,-65.81150695,Control
C,4,8,18.32318512,-65.81150695,Control
C,4,9,18.32318512,-65.81150695,Control
C,4,10,18.32318512,-65.81150695,Control
C,4,11,18.32318512,-65.81150695,Control
C,4,12,18.32318512,-65.81150695,Control
C,4,13,18.32318512,-65.81150695,Control
C,4,14,18.32318512,-65.81150695,Control
C,4,15,18.32318512,-65.81150695,Control
C,4,16,18.32318512,-65.81150695,Control
