START_DATE,BLOCK,PLOT,SEEDLINGPLOT,SECTION,LITTER,LIVE_TRUNK,DEAD_TRUNK,OTHERS,BARE_ROCK,BARE_SOIL,GRASS,GRASS_TOTAL_HT,WOOD_lt5CM,LITTERDEPTHCORNER1,LITTERDEPTHCORNER2,LITTERDEPTHCORNER3,LITTERDEPTHCORNER4,COMMENTS
2003-06-01,A,2,5,3,90,3,0,,2,3,2,14,1,3,7,3,4,
2003-06-01,A,3,1,1,42,13,0,,40,1,4,16,2,2,4,2,4,
2003-06-01,A,3,1,2,74,7,0,,13,3,3,11,4,1,5,3,2,
2003-06-01,A,3,1,3,70,4,0,,25,0,1,11,2,3,2,3,5,
2003-06-01,A,3,2,1,55,18,20,,0,6,1,10,3,3,2,1,3,
2003-06-01,A,3,2,2,25,8,65,,0,1,1,10,1,3,2,2,2,
2003-06-01,A,3,2,3,85,5,0,,1,5,2,15,5,2,2,2,3,
2003-06-01,A,3,3,1,78,3,8,,4,4,3,14,7,2,4,4,2,
2003-06-01,A,3,3,2,62,15,8,,12,1,2,17,2,3,5,2,2,
2003-06-01,A,3,3,3,84,4,0,,4,6,2,40,3,0,1,4,3,
2003-06-01,A,3,4,1,54,5,8,,6,27,0,,6,2,1,2,0,
2003-06-01,A,3,4,2,53,1,17,,25,4,0,,5,0,1,3,2,
2003-06-01,A,3,4,3,54,5,8,,25,7,1,21,2,3,2,2,5,
2003-06-01,A,3,5,1,23,1,60,,10,6,0,,5,0,6,6,7,
2003-06-01,A,3,5,2,33,9,47,,2,9,0,,1,0,8,8,4,
2003-06-01,A,3,5,3,43,3,48,,3,3,0,,8,5,4,10,0,
2003-06-01,A,4,1,1,68,12,15,,0,5,0,,7,2,1,2,2,
2003-06-01,A,4,1,2,68,10,20,,0,1,1,10,3,1,2,2,1,
2003-06-01,A,4,1,3,65,10,21,,0,1,3,30,8,1,1,3,9,
2003-06-01,A,4,2,1,65,18,12,,5,0,0,,6,3,2,1,3,
2003-06-01,A,4,2,2,56,16,0,,25,0,3,22,5,4,1,1,2,
2003-06-01,A,4,2,3,55,10,4,,28,0,3,21,12,3,3,3,1,
2003-06-01,A,4,3,1,79,13,0,,0,6,2,26,2,2,5,2,3,
2003-06-01,A,4,3,2,88,3,5,,0,3,1,10,2,1,1,4,2,
2003-06-01,A,4,3,3,88,3,0,,1,7,1,14,10,0,2,3,2,
2003-06-01,A,4,4,1,88,4,0,,0,8,0,,8,3,6,3,3,
2003-06-01,A,4,4,2,77,18,4,,0,1,2,17,5,2,5,3,2,
2003-06-01,A,4,4,3,59,16,10,,0,15,4,12,10,2,5,1,2,
2003-06-01,A,4,5,1,62,4,0,,8,25,1,11,5,4,4,2,0,
2003-06-01,A,4,5,2,75,6,0,,15,3,1,8,2,2,2,3,7,
2003-06-01,A,4,5,3,80,8,0,,5,5,2,22,16,2,7,1,1,
2003-06-01,B,1,1,1,88,6,0,0,6,2,0,0,2,2,4,2,3,
2003-06-01,B,1,1,2,65,15,0,0,10,10,0,0,3,1,5,3,1,
2003-06-01,B,1,1,3,39,35,1,0,10,15,0,0,3,0,0,0,0,
2003-06-01,B,1,2,1,76,0,12,0,0,12,0,0,2,1,2,0,1,
2003-06-01,B,1,2,2,76,12,0,0,6,2,0,0,1,1.5,4,5,1,
2003-06-01,B,1,2,3,95,1,0,0,0,4,0,0,4,4,1.5,0.5,1.5,
2003-06-01,B,1,3,1,71,14,0,0,12,3,0,0,3,3,2,2,2,
2003-06-01,B,1,3,2,78,4,0,0,13,5,0,0,3,1.5,3.5,2,2,
2003-06-01,B,1,3,3,91,2,0,0,6,1,0,0,4,4,2.5,4,2,
2003-06-01,B,1,4,1,91,1,0,0,1,6,1,10,1,0,1,1,2,
2003-06-01,B,1,4,2,56,1,0,0,25,17,1,12,1,1,0,1,1.5,
2003-06-01,B,1,4,3,68,3,0,0,1,26,2,26,1,0,2,1,1,
2003-06-01,B,1,5,1,51,1,1,0,45,2,0,0,2,7,4,0,10,
2003-06-01,B,1,5,2,65,8,15,0,9,3,0,0,2,1,1,4,8,
2003-06-01,B,1,5,3,74,1,3,0,12,10,0,0,2,3,5,6,1,
2003-06-01,B,2,1,1,87,1,3,0,5,1,3,40,4,5,3,4,1,
2003-06-01,B,2,1,2,87,3,2,0,5,2,1,70,2,4,2,1,4,
2003-06-01,B,2,1,3,0,1,2,0,6,3,0,0,1,3,3,5,7,
2003-06-01,B,2,2,1,84,1,12,0,0,2,1,10,4,3,4,4,1,
2003-06-01,B,2,2,2,80,1,6,0,2,10,1,15,2,2,3,3,1,
2003-06-01,B,2,2,3,80,1,3,0,0,6,1,20,1,2,2,1,2,
2003-06-01,B,2,3,1,79,1,1,0,13,6,0,0,2,1,4,5,5,
2003-06-01,B,2,3,2,85,1,2,0,9,2,1,16,5,8,7,5,5,
2003-06-01,B,2,3,3,93,1,3,0,0,3,0,0,15,5,4,1,4,
2003-06-01,B,2,4,1,79,1,5,0,0,15,0,0,1,4,4,5,2,
2003-06-01,B,2,4,2,89,1,7,0,0,3,0,0,5,5,3,0,2,
2003-06-01,B,2,4,3,94,1,0,0,0,4,1,9,7,2,7,2,1,
2003-06-01,B,2,5,1,34,1,15,0,0,50,0,0,1,1,5,8,1,
2003-06-01,B,2,5,2,89,2,0,0,3,5,1,9,1,4,3,1,3,
2003-06-01,B,2,5,3,93,3,1,0,0,2,1,8,1,1,2,4,6,
2003-06-01,B,3,1,1,68,12,1,0,17,1,1,9,1,1,5,1,1,
2003-06-01,B,3,1,2,92,4,1,0,1,1,1,7,12,4,3,1,4,
2003-06-01,B,3,1,3,79,12,1,0,2,6,0,0,6,1,2,4,4,
2003-06-01,B,3,2,1,90,5,0,0,4,1,0,0,10,4,6,2,1,
2003-06-01,B,3,2,2,83,10,0,0,6,1,0,0,10,5,1,6,5,
2003-06-01,B,3,2,3,79,10,2,0,3,5,1,7,7,5,1,4,5,
2003-06-01,B,3,3,1,75,4,16,0,0,4,1,5,8,5,2,3,1,
2003-06-01,B,3,3,2,93,4,0,0,0,2,1,5,2,3,4,1,1,
2003-06-01,B,3,3,3,93,1,0,0,0,15,1,4,3,4,3,3,1,
2003-06-01,B,3,4,1,69,1,25,0,0,5,0,0,3,2,4,2,6,
2003-06-01,B,3,4,2,65,6,7,0,0,20,1,5,1,2,2,1,4,
2003-06-01,B,3,4,3,72,7,0,0,0,20,1,4,2,2,2,8,3,
2003-06-01,B,3,5,1,76,8,0,0,10,6,0,0,4,3,1,2,4,
2003-06-01,B,3,5,2,81,2,0,0,10,7,0,0,2,6,3,2,1,
2003-06-01,B,3,5,3,89,3,0,0,3,5,0,0,2,2,1,1,4,
2003-06-01,B,4,1,1,27,10,5,0,4,54,0,0,2,1,0,1,1,
2003-06-01,B,4,1,2,46,3,25,0,1,25,0,0,2,1,0,1,0,
2003-06-01,B,4,1,3,18,50,7,0,0,25,0,0,3,1,0,0,1,
2003-06-01,B,4,2,1,68,6,12,0,8,5,1,4,2,0,1,3,2,
2003-06-01,B,4,2,2,72,10,7,0,4,6,1,7,2,1,2,1,2,
2003-06-01,B,4,2,3,69,10,0,0,10,10,1,8,3,3,1,4,1,
2003-06-01,B,4,3,1,84,5,0,0,5,5,1,8,4,2,6,2,2,
2003-06-01,B,4,3,2,86,6,0,0,0,7,1,8,12,2,3,2,3,
2003-06-01,B,4,3,3,,12,1,0,6,9,1,12,8,0,5,3,4,
2003-06-01,B,4,4,1,55,12,10,0,8,14,1,19,2,2,2,1,3,
2003-06-01,B,4,4,2,60,3,23,0,3,10,1,6,2,2,6,1,3,
2003-06-01,B,4,4,3,72,2,17,0,4,4,1,11,4,0,2,2,1,
2003-06-01,B,4,5,1,44,45,0,0,4,7,0,0,6,1,1,0,2,
2003-06-01,B,4,5,2,56,20,0,0,5,18,1,12,3,1,1,1,0,
2003-06-01,B,4,5,3,57,2,8,0,12,20,1,12,2,1,1,2,2,
2003-06-01,C,1,1,1,87,8,0,,0,5,0,1,4,1,2,2,4,
2003-06-01,C,1,1,2,71,9,14,,0,6,0,0,7,3,1,4,2,
2003-06-01,C,1,1,3,87,7,0,,0,6,1,60,2,1,2,2,5,
2003-06-01,C,1,2,1,70,18,0,,10,2,0,0,10,3,0,2,4,
2003-06-01,C,1,2,2,88,6,0,,3,3,0,0,7,1,3,4,3,
2003-06-01,C,1,2,3,90,8,0,,0,2,0,0,4,3,4,2,4,
2003-06-01,C,1,3,1,25,15,8,,0,51,1,16,10,4,3,1,0,
2003-06-01,C,1,3,2,60,12,3,,0,24,1,10,6,1,3,3,1,
2003-06-01,C,1,3,3,65,15,0,,0,20,0,0,10,1,2,3,0,
2003-06-01,C,1,4,1,90,6,0,,0,3,1,16,5,3,3,2,2,
2003-06-01,C,1,4,2,95,2,0,,0,2,1,32,2,2,2,2,3,
2003-06-01,C,1,4,3,96,2,0,,0,2,0,0,3,2,1,6,2,
2003-06-01,C,1,5,1,67,18,0,,0,15,0,0,2,2,2,2,0,
2003-06-01,C,1,5,2,57,18,0,,0,25,0,0,8,4,5,2,2,
2003-06-01,C,1,5,3,69,10,6,,0,15,0,0,8,2,2,3,1,
2003-06-01,C,2,1,1,78,2,2,,0,17,1,10,2,0,0,1,2,
2003-06-01,C,2,1,2,64,1,0,,0,44,1,16,3,3,3,1,4,
2003-06-01,C,2,1,3,49,15,0,,0,35,1,6,3,10,4,0,1,
2003-06-01,C,2,2,1,60,20,1,,0,18,1,14,8,1,1,1,1,
2003-06-01,C,2,2,2,88,10,0,,0,2,0,0,5,0,2,1,4,
2003-06-01,C,2,2,3,80,1,0,,0,18,1,8,2,3,3,1,4,
2003-06-01,C,2,3,1,93,4,0,,0,3,0,0,2,4,3,2,1,
2003-06-01,C,2,3,2,70,15,0,,0,15,0,0,8,2,4,1,1,
2003-06-01,C,2,3,3,94,3,0,,0,3,0,0,6,3,3,3,1,
2003-06-01,C,2,4,1,81,3,0,,0,16,0,0,4,2,5,0,1,
2003-06-01,C,2,4,2,82,7,4,,0,7,0,0,6,2,1,0,1,
2003-06-01,C,2,4,3,72,3,1,,0,24,0,0,5,3,2,0,0,
2003-06-01,C,2,5,1,69,6,8,,0,17,0,0,5,3,1,0,0,
2003-06-01,C,2,5,2,67,18,0,,0,15,0,0,7,3,4,0,2,
2003-06-01,C,2,5,3,54,15,6,,0,25,0,0,3,6,2,2,1,
2003-06-01,C,3,1,1,83,2,0,,0,7,8,29,1,4,4,2,7,
2003-06-01,C,3,1,2,77,3,0,,0,8,12,30,3,10,6,5,2,
2003-06-01,C,3,1,3,78,9,2,,0,6,5,31,6,5,7,3,1,
2003-06-01,C,3,2,1,89,7,2,,0,4,0,0,3,3,2,1,8,
2003-06-01,C,3,2,2,89,6,1,,0,3,1,28,6,6,7,3,2,
2003-06-01,C,3,2,3,85,9,0,,0,3,3,42,2,6,3,1,7,
2003-06-01,C,3,3,1,59,8,18,,0,10,5,26,5,2,2,3,1,
2003-06-01,C,3,3,2,82,3,6,,0,6,3,23,5,7,1,10,0,
2003-06-01,C,3,3,3,65,1,6,,0,25,3,18,6,4,4,1,0,
2003-06-01,C,3,4,1,82,10,3,,3,1,1,15,8,4,2,9,3,
2003-06-01,C,3,4,2,62,5,30,,0,3,0,0,2,3,2,0,3,
2003-06-01,C,3,4,3,76,5,14,,3,2,1,10,8,2,2,8,7,
2003-06-01,C,3,5,1,73,6,0,,6,13,2,15,6,1,0,3,2,
2003-06-01,C,3,5,2,86,4,8,,0,1,1,12,3,4,2,3,9,
2003-06-01,C,3,5,3,63,7,30,,0,0,0,,2,8,3,6,6,
2003-06-01,C,4,1,1,53,6,0,,0,40,1,20,3,2,2,1,2,
2003-06-01,C,4,1,2,70,5,0,,0,25,0,0,3,4,2,1,2,
2003-06-01,C,4,1,3,82,5,0,,3,10,0,0,5,7,3,1,1,
2003-06-01,C,4,2,1,87,8,0,,0,5,0,0,3,2,2,6,4,
2003-06-01,C,4,2,2,76,4,0,,0,20,0,0,3,1,7,3,0,
2003-06-01,C,4,2,3,71,4,0,,0,25,0,0,6,0,0,4,1,
2003-06-01,C,4,3,1,37,5,28,,0,30,0,0,2,2,5,3,1,
2003-06-01,C,4,3,2,75,2,8,,0,15,0,0,2,3,0,2,5,
2003-06-01,C,4,3,3,89,3,0,,0,8,0,0,2,3,5,3,5,
2003-06-01,C,4,4,1,53,8,27,,0,18,0,0,10,6,2,1,1,
2003-06-01,C,4,4,2,56,4,20,,0,20,0,0,15,2,5,3,4,
2003-06-01,C,4,4,3,71,8,6,,0,15,0,0,10,2,2,2,1,
2003-06-01,C,4,5,1,83,2,0,,0,15,0,0,2,2,2,1,2,
2003-06-01,C,4,5,2,68,10,6,,0,16,0,0,8,4,2,4,1,
2003-06-01,C,4,5,3,65,14,14,,0,7,0,0,6,7,2,1,2,
2003-10-01,A,1,1,1,71,3,0,,,25,1,14,3,2,7,1,0,
2003-10-01,A,1,1,2,83,1,0,,0,15,1,6,2,0,2,1,1,
2003-10-01,A,1,1,3,86,2,0,,9,2,1,12,3,1,2,1,2,
2003-10-01,A,1,2,1,81,8,0,,10,1,0,,2,3,8,4,3,
2003-10-01,A,1,2,2,79,8,11,,0,1,1,10,3,5,4,3,6,
2003-10-01,A,1,2,3,91,2,0,,5,1,1,3,2,4,4,3,3,
2003-10-01,A,1,3,1,72,8,0,,0,20,0,0,2,0,3,0,3,
2003-10-01,A,1,3,2,40,10,0,,42,7,1,13,1,3,5,1,2,
2003-10-01,A,1,3,3,56,15,10,,0,8,1,5,2,1,2,2,1,
2003-10-01,A,1,4,1,79,2,10,,0,8,1,10,1,10,3,2,1,
2003-10-01,A,1,4,2,92,1,0,,0,7,0,0,0,9,1,1,1,
2003-10-01,A,1,4,3,86,3,0,,0,10,1,19,2,3,1,3,8,
2003-10-01,A,1,5,1,73,16,0,,8,2,1,12,4,5,1,1,2,
2003-10-01,A,1,5,2,56,35,0,,5,2,2,15,2,2,2,0,3,
2003-10-01,A,1,5,3,67,8,0,,16,7,2,15,2,4,1,0,2,
2003-10-01,A,2,1,1,63,5,0,,7,25,0,,3,2,3,4,1,
2003-10-01,A,2,1,2,45,2,0,,50,3,0,,10,2,4,0,1,
2003-10-01,A,2,1,3,41,8,5,,25,20,1,15,10,10,5,0,1,
2003-10-01,A,2,2,1,76,2,0,,20,1,1,19,0,1,2,2,8,
2003-10-01,A,2,2,2,77,6,10,,2,4,1,11,5,3,4,2,3,
2003-10-01,A,2,2,3,92,3,0,,0,2,3,17,2,1,4,5,4,
2003-10-01,A,2,3,1,71,1,0,,26,2,0,,5,8,1,1,3,
2003-10-01,A,2,3,2,71,9,0,,15,5,0,,2,9,5,3,3,
2003-10-01,A,2,3,3,78,3,0,,12,6,1,8,10,3,2,3,1,
2003-10-01,A,2,4,1,41,3,0,,50,6,10,17,3,0,0,3,1,
2003-10-01,A,2,4,2,88,4,0,,2,3,3,20,3,5,1,0,2,
2003-10-01,A,2,4,3,13,6,0,,75,2,4,37,1,1,3,2,2,
2003-10-01,A,2,5,1,81,10,0,,0,3,6,14,5,4,1,3,2,
2003-10-01,A,2,5,2,63,6,0,,22,7,2,11,5,2,5,2,6,
2003-10-01,A,2,5,3,93,3,0,,2,1,1,12,2,5,5,6,2,
2003-10-01,A,3,1,1,54,13,0,,30,1,2,16,3,2,7,5,3,
2003-10-01,A,3,1,2,76,7,0,,13,2,2,10,2,5,1,3,3,
2003-10-01,A,3,1,3,70,4,0,,25,0,1,10,2,5,5,3,1,
2003-10-01,A,3,2,1,59,18,20,,0,2,1,15,3,2,2,2,3,
2003-10-01,A,3,2,2,26,8,65,,3,1,1,10,2,2,3,3,3,
2003-10-01,A,3,2,3,92,5,0,,1,1,1,12,2,2,1,3,2,
2003-10-01,A,3,3,1,86,3,5,,1,2,3,18,7,2,4,4,7,
2003-10-01,A,3,3,2,67,15,8,,7,1,2,23,2,6,1,8,8,
2003-10-01,A,3,3,3,88,4,0,,3,3,2,40,3,1,6,1,2,
2003-10-01,A,3,4,1,72,5,4,,5,12,0,,6,1,1,1,2,
2003-10-01,A,3,4,2,58,1,12,,25,3,1,15,5,5,2,3,1,
2003-10-01,A,3,4,3,58,5,6,,25,5,1,21,3,2,0,1,5,
2003-10-01,A,3,5,1,23,1,60,,10,6,0,,2,0,11,5,7,
2003-10-01,A,3,5,2,35,9,47,,2,7,0,,3,2,8,1,0,
2003-10-01,A,3,5,3,43,3,48,,3,3,0,,2,4,10,8,4,
2003-10-01,A,4,1,1,67,12,15,,0,5,0,,3,3,4,3,1,
2003-10-01,A,4,1,2,68,10,23,,0,1,1,11,2,2,2,4,1,
2003-10-01,A,4,1,3,65,10,21,,0,1,3,24,6,6,3,0,1,
2003-10-01,A,4,2,1,68,18,12,,2,0,0,0,6,3,2,3,1,
2003-10-01,A,4,2,2,57,16,0,,25,1,1,12,5,8,5,1,5,
2003-10-01,A,4,2,3,59,10,1,,28,1,1,21,10,2,2,0,0,
2003-10-01,A,4,3,1,82,13,0,,0,4,1,16,1,5,7,2,1,
2003-10-01,A,4,3,2,95,3,0,,0,2,0,0,1,1,1,3,1,
2003-10-01,A,4,3,3,88,3,3,,1,4,1,16,5,4,4,2,1,
2003-10-01,A,4,4,1,87,4,0,,0,8,1,8,2,1,7,4,2,
2003-10-01,A,4,4,2,79,18,0,,0,1,2,12,5,1,3,4,3,
2003-10-01,A,4,4,3,56,16,10,,0,15,3,12,8,1,3,5,3,
2003-10-01,A,4,5,1,0,4,0,,8,20,1,10,5,6,1,4,5,
2003-10-01,A,4,5,2,75,6,0,,15,3,1,12,6,7,7,2,3,
2003-10-01,A,4,5,3,83,8,0,,5,3,1,7,16,6,1,2,5,
2003-10-01,B,1,1,1,86,6,0,0,6,2,0,0,4,9,1,2,4,
2003-10-01,B,1,1,2,65,15,0,0,10,10,0,0,3,0,1,6,3,
2003-10-01,B,1,1,3,39,35,1,0,15,15,0,0,3,5,3,1,3,
2003-10-01,B,1,2,1,63,1,12,0,0,24,0,0,6,1,2,1,4,
2003-10-01,B,1,2,2,84,12,0,0,2,2,0,0,4,2,7,2,2,
2003-10-01,B,1,2,3,93,1,0,0,0,6,0,0,6,1,2,3,4,
2003-10-01,B,1,3,1,77,14,0,0,6,3,0,0,3,10,3,1,3,
2003-10-01,B,1,3,2,84,6,0,0,5,5,0,0,3,2,2.5,2.5,2,
2003-10-01,B,1,3,3,94,2,0,0,3,1,0,0,3,3,1,5,1,
2003-10-01,B,1,4,1,86,1,0,0,6,6,1,10,1,0,2,1,1,
2003-10-01,B,1,4,2,64,1,0,0,17,17,1,15,1,0,1,3,0,
2003-10-01,B,1,4,3,64,3,0,0,5,26,2,28,1,2,1,5,0,
2003-10-01,B,1,5,1,43,1,1,0,45,10,0,0,2,4,5,9,0,
2003-10-01,B,1,5,2,71,8,15,0,3,3,0,0,2,2,1,2,10,
2003-10-01,B,1,5,3,76,1,3,0,10,10,0,0,3,3,3,5,2,
2003-10-01,B,2,1,1,87,1,3,0,5,1,3,25,3,10.5,6,5,4,
2003-10-01,B,2,1,2,87,3,2,0,5,2,1,23,2,2,1,3,11,
2003-10-01,B,2,1,3,88,1,2,0,6,3,0,0,1,3,4,4,6,
2003-10-01,B,2,2,1,84,1,12,0,0,2,1,10,4,7,3,3,5,
2003-10-01,B,2,2,2,84,1,6,0,2,6,1,13,2,3,1,2,4,
2003-10-01,B,2,2,3,80,1,3,0,0,15,1,7,1,1,2,4,1,
2003-10-01,B,2,3,1,80,1,0,0,13,6,0,0,2,4,10,4,4,
2003-10-01,B,2,3,2,80,1,0,0,9,2,1,15,5,8,10,4,3,
2003-10-01,B,2,3,3,93,1,3,0,0,3,0,0,5,1,4,5,5,
2003-10-01,B,2,4,1,87,1,0,0,0,12,0,0,5,5,3,5,6,
2003-10-01,B,2,4,2,96,1,0,0,0,3,0,0,3,3,1,4,3,
2003-10-01,B,2,4,3,94,1,0,0,0,4,1,6,2,3,1,4,2,
2003-10-01,B,2,5,1,73,2,15,0,0,10,0,0,1,1,6,9,4,
2003-10-01,B,2,5,2,88,3,1,0,0,7,1,17,1,7,4,3,1,
2003-10-01,B,2,5,3,91,5,1,0,0,2,1,12,1,4,4,3,1,
2003-10-01,B,3,1,1,69,12,1,0,17,1,1,15,1,1,5,2,1,
2003-10-01,B,3,1,2,94,4,1,0,1,0,0,0,5,5,6,8,1,
2003-10-01,B,3,1,3,79,12,1,0,2,6,0,0,5,9,0,3,3,
2003-10-01,B,3,2,1,89,6,0,0,4,1,0,0,8,4,2,2,4,
2003-10-01,B,3,2,2,83,10,0,0,6,1,0,0,8,4,3,7,4,
2003-10-01,B,3,2,3,83,10,2,0,3,1,1,20,6,2,3,4,3,
2003-10-01,B,3,3,1,78,4,16,0,0,2,0,0,8,3,2,1,2,
2003-10-01,B,3,3,2,94,4,0,0,0,1,1,7,2,6,2,3,1,
2003-10-01,B,3,3,3,93,1,0,0,0,5,1,6,3,2,3,3,1,
2003-10-01,B,3,4,1,70,2,25,0,0,3,0,0,2,4,3,1,2,
2003-10-01,B,3,4,2,72,6,7,0,0,15,0,0,3,4,3,2,8,
2003-10-01,B,3,4,3,77,7,0,0,0,16,0,0,2,1,3,4,8,
2003-10-01,B,3,5,1,80,8,0,0,10,2,0,0,5,3,4,1,5,
2003-10-01,B,3,5,2,86,2,0,0,12,10,0,0,1,7,0,4,1,
2003-10-01,B,3,5,3,89,3,0,0,3,5,0,0,1,1,2,0,3,
2003-10-01,B,4,1,1,31,6,5,0,4,54,0,0,2,2,0,1,0,
2003-10-01,B,4,1,2,46,3,25,0,1,25,0,0,2,3,0,1,0,
2003-10-01,B,4,1,3,38,30,7,0,0,25,0,0,3,0,1,0,4,
2003-10-01,B,4,2,1,68,6,12,0,8,5,1,4,2,0,1,1,2,
2003-10-01,B,4,2,2,72,10,7,0,4,6,1,10,2,2,1,3,1,
2003-10-01,B,4,2,3,74,10,0,0,10,5,1,8,3,2,1,4,6,
2003-10-01,B,4,3,1,84,5,0,0,5,5,1,9,2,4,3,1,3,
2003-10-01,B,4,3,2,86,6,0,0,0,7,1,15,8,3,5,6,4,
2003-10-01,B,4,3,3,72,12,1,0,6,8,1,12,8,5,1,7,2,
2003-10-01,B,4,4,1,55,12,10,0,8,14,1,12,2,1,2,1,3,
2003-10-01,B,4,4,2,60,3,23,0,3,10,1,13,2,2,2,4,4,
2003-10-01,B,4,4,3,59,2,17,0,4,4,1,13,4,5,4,3,0,
2003-10-01,B,4,5,1,44,45,0,0,4,7,0,0,6,1,2,3,1,
2003-10-01,B,4,5,2,47,20,0,0,5,18,1,9,3,1,1,4,0,
2003-10-01,B,4,5,3,59,2,8,0,12,18,1,12,2,1,4,3,0,
2003-10-01,C,1,1,1,87,8,0,,0,5,0,0,4,3,0,2,2,
2003-10-01,C,1,1,2,73,8,14,,0,6,0,0,5,2,1,1,3,
2003-10-01,C,1,1,3,87,7,0,,0,5,1,35,2,3,0,2,1,
2003-10-01,C,1,2,1,70,18,0,,10,2,0,0,10,2,3,1,0,
2003-10-01,C,1,2,2,89,6,0,,3,2,0,0,7,1,0,1,2,
2003-10-01,C,1,2,3,90,8,0,,0,2,0,0,4,3,3,2,2,
2003-10-01,C,1,3,1,30,15,4,,0,50,1,17,6,4,2,1,1,
2003-10-01,C,1,3,2,67,12,0,,0,20,1,15,6,1,2,2,2,
2003-10-01,C,1,3,3,65,15,0,,0,20,0,0,10,1,2,3,0,
2003-10-01,C,1,4,1,90,6,0,,0,3,1,10,5,5,1,1,2,
2003-10-01,C,1,4,2,95,2,0,,0,2,1,12,2,1,3,4,4,
2003-10-01,C,1,4,3,96,2,0,,0,2,0,0,3,2,4,2,2,
2003-10-01,C,1,5,1,67,18,0,,0,15,0,0,2,1,7,3,1,
2003-10-01,C,1,5,2,60,15,0,,0,25,0,0,8,5,5,2,3,
2003-10-01,C,1,5,3,70,10,3,,0,17,0,0,8,2,1,2,2,
2003-10-01,C,2,1,1,93,2,0,,0,5,0,0,2,8,5,4,3,
2003-10-01,C,2,1,2,73,1,0,,0,25,1,5,3,4,0,3,6,
2003-10-01,C,2,1,3,49,15,0,,0,35,1,6,2,11,3,1,5,
2003-10-01,C,2,2,1,64,20,0,,0,15,1,10,6,0,3,4,4,
2003-10-01,C,2,2,2,88,10,0,,0,2,0,0,3,4,1,0,4,
2003-10-01,C,2,2,3,88,1,0,,0,10,1,10,2,4,4,6,1,
2003-10-01,C,2,3,1,93,4,0,,0,3,0,0,2,8,3,4,3,
2003-10-01,C,2,3,2,70,15,0,,0,15,0,0,8,5,4,8,1,
2003-10-01,C,2,3,3,94,3,0,,0,3,0,0,5,6,4,6,1,
2003-10-01,C,2,4,1,81,3,0,,0,16,0,0,3,3,2,1,5,
2003-10-01,C,2,4,2,86,5,2,,0,7,0,0,3,2,4,6,1,
2003-10-01,C,2,4,3,71,3,0,,0,24,0,0,5,3,4,0,4,
2003-10-01,C,2,5,1,69,6,8,,0,17,0,0,5,6,2,2,1,
2003-10-01,C,2,5,2,70,18,0,,0,15,0,0,5,5,2,3,2,
2003-10-01,C,2,5,3,55,15,6,,0,24,0,0,3,3,4,1,1,
