Date,Block,Plot,Leaves (in g),Wood (in g),Misc (in g),Fruits;seeds;flower (g),Days since last collec.,New palm frond (in m),Remarks
2003-01-22,B,2,23.27,9.61,1.32,2.7,13,0,All material was dried at 40 centigrades.
2003-01-22,B,3,28.16,6.4,3.52,8.77,13,0,All material was dried at 40 centigrades.
2003-01-22,B,4,17.75,11.31,1.2,4.89,13,5.75,All material was dried at 40 centigrades.
2003-01-22,C,1,20.23,13.99,4.99,1.35,13,0,All material was dried at 40 centigrades.
2003-01-22,C,2,27.43,11.02,2.64,1.75,13,0.05,All material was dried at 40 centigrades.
2003-01-22,C,3,27.1,27.78,7.03,6.03,13,3.5,All material was dried at 40 centigrades.
2003-01-22,C,4,19.53,3.75,0.63,5.53,13,0,All material was dried at 40 centigrades.
2003-02-06,A,1,23.41,3.16,3.74,11.62,15,0,All material was dried at 40 centigrades.
2003-02-06,A,2,14.5,4.66,2.29,6.25,15,0,All material was dried at 40 centigrades.
2003-02-06,A,3,22.98,1.81,1.72,5.38,15,2,All material was dried at 40 centigrades.
2003-02-06,A,4,17.47,2.38,2.52,3.08,15,6.25,All material was dried at 40 centigrades.
2003-02-06,B,1,24.63,5.19,5.67,2.27,15,0,All material was dried at 40 centigrades.
2003-02-06,B,2,25.23,8.32,3.4,1.67,15,0,All material was dried at 40 centigrades.
2003-02-06,B,3,26.96,4.75,5.43,6.14,15,0,All material was dried at 40 centigrades.
2003-02-06,B,4,16.05,5.1,4.13,3.51,15,0,All material was dried at 40 centigrades.
2003-02-06,C,1,25.52,25.49,5.92,0.77,15,3.1,All material was dried at 40 centigrades.
2003-02-06,C,2,16.07,12.37,2.17,2.88,15,1.1,All material was dried at 40 centigrades.
2003-02-06,C,3,28.71,5.89,6.73,2.59,15,0,All material was dried at 40 centigrades.
2003-02-06,C,4,13.12,2.26,2.82,0.22,15,0,All material was dried at 40 centigrades.
2003-02-20,A,1,18.93,4.14,4.91,5.01,14,10.62,All material was dried at 40 centigrades.
2003-02-20,A,2,18.67,9.26,1.43,7.85,14,6.57,All material was dried at 40 centigrades.
2003-02-20,A,3,17.78,3.18,4.83,7.3,14,4.23,All material was dried at 40 centigrades.
2003-02-20,A,4,18.15,3.67,0.94,0.43,14,0,All material was dried at 40 centigrades.
2003-02-20,B,1,31.13,122.61,6.36,5.26,13,0.77,All material was dried at 40 centigrades.
2003-02-20,B,2,17.37,33.13,3.18,1.56,13,0.08,All material was dried at 40 centigrades.
2003-02-20,B,3,24.27,6.01,5.48,8.61,13,1.1,All material was dried at 40 centigrades.
2003-02-20,B,4,12.84,0.83,2.3,2.41,13,1.43,All material was dried at 40 centigrades.
2003-02-20,C,1,28.27,17.87,6.49,3.5,14,0,All material was dried at 40 centigrades.
2003-02-20,C,2,10.66,4.01,2.49,2.79,14,4.5,All material was dried at 40 centigrades.
2003-02-20,C,3,27.61,3.38,3.61,3.13,14,1.2,All material was dried at 40 centigrades.
2003-02-20,C,4,14.74,2.54,2.08,1.01,14,2.86,All material was dried at 40 centigrades.
2003-03-06,A,1,27.3,17.21,5.41,6.54,13,2.25,All material was dried at 40 centigrades.
2003-03-06,A,2,31.83,4.11,2.42,6.6,13,0,All material was dried at 40 centigrades.
2003-03-06,A,3,30.44,6.88,6.44,3.69,13,0,All material was dried at 40 centigrades.
2003-03-06,A,4,24.18,5.1,2.45,0.68,13,1,All material was dried at 40 centigrades.
2003-03-06,B,1,52.45,6.82,3.81,10.13,14,1.5,All material was dried at 40 centigrades.
2003-03-06,B,2,32.19,12.58,3.05,1.56,14,0,All material was dried at 40 centigrades.
2003-03-06,B,3,32.93,44.49,7.7,4.48,14,1.2,All material was dried at 40 centigrades.
2003-03-06,B,4,21.51,2.32,3.79,0.54,14,0,All material was dried at 40 centigrades.
2003-03-06,C,1,58.36,19.43,9.2,4.29,13,0,All material was dried at 40 centigrades.
2003-03-06,C,2,23.66,2.05,1.56,1.97,13,3.2,All material was dried at 40 centigrades.
2003-03-06,C,3,30.11,4.32,2.96,4.43,13,0,All material was dried at 40 centigrades.
2003-03-06,C,4,26.17,1.6,1.61,1.08,13,4,All material was dried at 40 centigrades.
2003-03-20,A,1,32.43,1.29,2.17,9.1,15,0,All material was dried at 40 centigrades.
2003-03-20,A,2,24.43,4.08,2.09,31.1,15,0,All material was dried at 40 centigrades.
2003-03-20,A,3,35.52,17.97,4.25,1.15,15,7.9,All material was dried at 40 centigrades.
2003-03-20,A,4,41.5,13.14,2.44,7.64,15,0,All material was dried at 40 centigrades.
2003-03-20,B,1,40.89,6.45,2.97,4.92,15,0,All material was dried at 40 centigrades.
2003-03-20,B,2,31.96,25.63,1.95,2.64,15,0,All material was dried at 40 centigrades.
2003-03-20,B,3,55.86,8.55,6.22,4.32,15,4,All material was dried at 40 centigrades.
2003-03-20,B,4,24.75,1.65,1.86,3.79,15,0,All material was dried at 40 centigrades.
2003-03-20,C,1,49.57,8.54,2.72,14.86,15,0,All material was dried at 40 centigrades.
2003-03-20,C,2,26.06,3.75,1.72,2.09,15,0,All material was dried at 40 centigrades.
2003-03-20,C,3,32.22,4.74,2.83,4.47,15,0,All material was dried at 40 centigrades.
2003-03-20,C,4,25.08,3.58,1.89,4.86,15,0.7,All material was dried at 40 centigrades.
2003-04-03,A,1,258.61,11.8,2.94,14.37,15,3.98,All material was dried at 40 centigrades.
2003-04-03,A,2,39.35,2.25,2.04,37.94,15,1.4,All material was dried at 40 centigrades.
2003-04-03,A,3,32.46,2.97,4.91,2.98,15,7.28,All material was dried at 40 centigrades.
2003-04-03,A,4,152.2,92.77,2.67,0.43,15,7.27,All material was dried at 40 centigrades.
2003-04-03,B,1,41.03,1.52,2.62,2.12,14,4.6,All material was dried at 40 centigrades.
2003-04-03,B,2,30.43,1.54,2.3,2.44,14,3.8,All material was dried at 40 centigrades.
2003-04-03,B,3,46.53,13.95,5.46,1.36,14,0,All material was dried at 40 centigrades.
2003-04-03,B,4,24.87,2.03,2.73,6.14,14,3.7,All material was dried at 40 centigrades.
2003-04-03,C,1,61.95,22.73,4.31,2.01,14,0.81,All material was dried at 40 centigrades.
2003-04-03,C,2,15.83,4.44,3.14,6.55,14,0.7,All material was dried at 40 centigrades.
2003-04-03,C,3,45.88,2.32,4.77,5.05,14,0,All material was dried at 40 centigrades.
2003-04-03,C,4,18.01,1.03,1.3,2.95,14,1.71,All material was dried at 40 centigrades.
2003-04-18,A,1,60.15,4.56,5.58,8.45,14,0,All material was dried at 40 centigrades.
2003-04-18,A,2,26.38,10.19,2.68,6.26,14,2.5,All material was dried at 40 centigrades.
2003-04-18,A,3,24.73,3.89,2.3,3.28,14,0,All material was dried at 40 centigrades.
2003-04-18,A,4,56.64,5.26,2.17,6.46,14,0,All material was dried at 40 centigrades.
2003-04-18,B,1,61.77,32.44,2.79,1.1,15,6.5,All material was dried at 40 centigrades.
2003-04-18,B,2,44.43,11.16,3.01,2.68,15,1,All material was dried at 40 centigrades.
2003-04-18,B,3,50.93,16.71,6.26,2.88,15,0,All material was dried at 40 centigrades.
2003-04-18,B,4,29.74,8.03,3.19,4.72,15,0,All material was dried at 40 centigrades.
2003-04-18,C,1,68.37,10.75,6.79,2.04,15,3.5,All material was dried at 40 centigrades.
2003-04-18,C,2,22.83,8.92,2.93,3.18,15,0,All material was dried at 40 centigrades.
2003-04-18,C,3,29.58,21.77,6.59,6.83,15,0,All material was dried at 40 centigrades.
2003-04-18,C,4,23.1,6.02,4.82,3.78,15,1.5,All material was dried at 40 centigrades.
2003-05-01,A,1,165.7,8.12,4.55,2.06,13,5.9,All material was dried at 40 centigrades.
2003-05-01,A,2,51.35,47.19,5.04,12.04,13,0,All material was dried at 40 centigrades.
2003-05-01,A,3,76.63,11.03,4.6,2.96,13,0,All material was dried at 40 centigrades.
2003-05-01,A,4,65.29,9.8,4.93,0.66,13,0,All material was dried at 40 centigrades.
2003-05-01,B,1,44.63,5.37,3.81,1.79,13,0,All material was dried at 40 centigrades.
2003-05-01,B,2,59.3,7.49,4.52,2.58,13,0,All material was dried at 40 centigrades.
2003-05-01,B,3,110.84,28.11,5.48,1.98,13,8.7,All material was dried at 40 centigrades.
2003-05-01,B,4,36.75,7.32,3.56,5.9,13,0,All material was dried at 40 centigrades.
2003-05-01,C,1,317.05,56.08,4.96,1.84,13,0,All material was dried at 40 centigrades.
2003-05-01,C,2,83.63,7.18,2.31,1.17,13,0,All material was dried at 40 centigrades.
2003-05-01,C,3,96.6,17.17,7.18,18.32,13,0,All material was dried at 40 centigrades.
2003-05-01,C,4,48.21,35.82,3.27,4.45,13,0,All material was dried at 40 centigrades.
2003-05-15,A,1,91.74,1.94,6.89,6.33,14,0,All material was dried at 40 centigrades.
2003-05-15,A,2,64.08,3.82,3.23,0.73,14,2,All material was dried at 40 centigrades.
2003-05-15,A,3,56.22,6,5.55,0.72,14,0,All material was dried at 40 centigrades.
2003-05-15,A,4,47.38,7.64,3.7,0.66,14,5.49,All material was dried at 40 centigrades.
2003-05-15,B,1,62.67,2.84,4.22,0.33,14,4.4,All material was dried at 40 centigrades.
2003-05-15,B,2,100.02,26.91,4.5,2.26,14,0,All material was dried at 40 centigrades.
2003-05-15,B,3,106.78,9.93,5.73,6.97,14,3.25,All material was dried at 40 centigrades.
2003-05-15,B,4,25.9,2.82,2.5,4.94,14,0,All material was dried at 40 centigrades.
2003-05-15,C,1,161.6,5.1,6.71,9.34,14,0,All material was dried at 40 centigrades.
2003-05-15,C,2,93.89,5.63,3.1,0.6,14,4.75,All material was dried at 40 centigrades.
2003-05-15,C,3,73.4,9.88,9.5,85.81,14,0,All material was dried at 40 centigrades.
2003-05-15,C,4,89.34,8.06,2.93,8.29,14,0,All material was dried at 40 centigrades.
2003-05-29,A,1,27.94,0.68,3.28,1.38,14,0,All material was dried at 40 centigrades.
2003-05-29,A,2,32.04,5.72,2.82,5.96,14,0,All material was dried at 40 centigrades.
2003-05-29,A,3,35.36,6.79,7.16,13.49,14,0,All material was dried at 40 centigrades.
2003-05-29,A,4,31.5,2.99,2.94,4.75,14,0,All material was dried at 40 centigrades.
2003-05-29,B,1,56.62,6.18,4.88,1.21,14,0,All material was dried at 40 centigrades.
2003-05-29,B,2,56.62,6.25,3.82,1.29,14,0,All material was dried at 40 centigrades.
2003-05-29,B,3,43.35,4.94,5.52,2.68,14,0,All material was dried at 40 centigrades.
2003-05-29,B,4,17.54,2.86,3.03,15.93,14,0,All material was dried at 40 centigrades.
2003-05-29,C,1,62.11,3.24,8.2,14.04,14,1.9,All material was dried at 40 centigrades.
2003-05-29,C,2,40.99,4.39,3.21,1.91,14,0,All material was dried at 40 centigrades.
2003-05-29,C,3,36.43,7.86,5.41,31.11,14,0,All material was dried at 40 centigrades.
2003-05-29,C,4,25.27,6.68,2.96,4.82,14,1.4,All material was dried at 40 centigrades.
2003-06-12,A,1,35.3,4,4.22,13.37,14,6.09,All material was dried at 40 centigrades.
2003-06-12,A,2,50.23,4.06,3.12,4.12,14,0.7,All material was dried at 40 centigrades.
2003-06-12,A,3,50.2,9.65,2.12,14.63,14,4.5,All material was dried at 40 centigrades.
2003-06-12,A,4,64.96,4.96,3.42,2.42,14,9.69,All material was dried at 40 centigrades.
2003-06-12,B,1,67,6.54,4.41,6.27,14,3.26,All material was dried at 40 centigrades.
2003-06-12,B,2,98.36,11.42,4.92,1.41,14,0,All material was dried at 40 centigrades.
2003-06-12,B,3,99.95,8.7,5.34,5,14,3.3,All material was dried at 40 centigrades.
2003-06-12,B,4,26.78,5.22,1.58,6.12,14,0,All material was dried at 40 centigrades.
2003-06-12,C,1,85.02,6.03,8.2,1.65,14,4,All material was dried at 40 centigrades.
2003-06-12,C,2,87.33,9.02,3.47,3.36,14,0,All material was dried at 40 centigrades.
2003-06-12,C,3,92.53,12.5,8.68,11.7,14,0,All material was dried at 40 centigrades.
2003-06-12,C,4,41.38,2.59,2.25,5.52,14,6.2,All material was dried at 40 centigrades.
2003-06-26,A,1,24.59,6.45,2.94,8.91,14,0,All material was dried at 40 centigrades.
2003-06-26,A,2,39.28,5.25,2.25,3.4,14,0,All material was dried at 40 centigrades.
2003-06-26,A,3,38.6,5.54,2.35,9.04,14,0,All material was dried at 40 centigrades.
2003-06-26,A,4,36.75,4.13,1.69,11.05,14,0,All material was dried at 40 centigrades.
2003-06-26,B,1,74.23,10.32,1.5,8.01,14,0,All material was dried at 40 centigrades.
2003-06-26,B,2,54.91,13.77,3.1,2.51,14,0,All material was dried at 40 centigrades.
2003-06-26,B,3,62.06,13.28,7.51,5.43,14,0,All material was dried at 40 centigrades.
2003-06-26,B,4,33.35,4.06,3.8,3.49,14,0,All material was dried at 40 centigrades.
2003-06-26,C,1,58.62,18.02,8,11.93,14,0,All material was dried at 40 centigrades.
2003-06-26,C,2,72.79,16.07,4.42,12.48,14,0,All material was dried at 40 centigrades.
2003-06-26,C,3,56.15,10.7,2.7,5.54,14,0,All material was dried at 40 centigrades.
2003-06-26,C,4,47.88,17.05,1.52,1.35,14,0,All material was dried at 40 centigrades.
2003-07-10,A,1,22.81,13.22,2.17,35.19,14,4.45,All material was dried at 40 centigrades.
2003-07-10,A,2,54.18,5,2.2,4.42,14,0,All material was dried at 40 centigrades.
2003-07-10,A,3,60.78,13.61,0.86,9.73,14,0,All material was dried at 40 centigrades.
2003-07-10,A,4,41.34,4.93,1.05,14.71,14,0,All material was dried at 40 centigrades.
2003-07-10,B,1,58.04,11.91,4.6,5.27,14,0,All material was dried at 40 centigrades.
2003-07-10,B,2,58.35,50.58,4.86,2.67,14,0,All material was dried at 40 centigrades.
2003-07-10,B,3,53.6,21.3,1.48,14.46,14,2.4,All material was dried at 40 centigrades.
2003-07-10,B,4,29.53,2.28,2.68,0.74,14,11.4,All material was dried at 40 centigrades.
2003-07-10,C,1,12.78,5.88,2.18,11.73,14,0,All material was dried at 40 centigrades.
2003-07-10,C,2,71.34,13.13,7.56,28.07,14,3.3,All material was dried at 40 centigrades.
2003-07-10,C,3,35.91,5.7,2.61,11.37,14,0,All material was dried at 40 centigrades.
2003-07-10,C,4,81.28,15.22,5.31,4.58,14,0,All material was dried at 40 centigrades.
2003-07-24,A,1,22.62,6.43,4.6,14.35,14,25.64,All material was dried at 40 centigrades.
2003-07-24,A,2,33.67,7.3,3.5,13.7,14,0,All material was dried at 40 centigrades.
2003-07-24,A,3,37.28,7.08,2.67,2.54,14,0,All material was dried at 40 centigrades.
2003-07-24,A,4,21.54,3.53,3.2,20.19,14,2.1,All material was dried at 40 centigrades.
2003-07-24,B,1,45.27,8.79,3.81,3.03,14,0,All material was dried at 40 centigrades.
2003-07-24,B,2,53.26,9.58,4.75,6.11,14,0,All material was dried at 40 centigrades.
2003-07-24,B,3,31.53,3.15,3.68,1.92,14,0,All material was dried at 40 centigrades.
2003-07-24,B,4,49.41,15.51,6.42,10.4,14,0,All material was dried at 40 centigrades.
2003-07-24,C,1,26.54,4.4,4.81,25.9,14,0,All material was dried at 40 centigrades.
2003-07-24,C,2,27.87,5.98,3.62,22.65,14,0,All material was dried at 40 centigrades.
2003-07-24,C,3,89.2,8.29,3.95,17.1,14,0,All material was dried at 40 centigrades.
2003-07-24,C,4,49.63,94.7,4.82,27.69,14,0,All material was dried at 40 centigrades.
2003-08-08,A,1,92.23,0.68,1.41,1.62,15,13.1,All material was dried at 40 centigrades.
2003-08-08,A,2,40.23,4.47,0.67,6.71,15,0,All material was dried at 40 centigrades.
2003-08-08,A,3,35.38,17.53,0.82,4.68,15,9.5,All material was dried at 40 centigrades.
2003-08-08,A,4,27.86,0.75,0.7,24.85,15,2,All material was dried at 40 centigrades.
2003-08-08,B,1,52.46,2.61,0.85,5.73,15,0,All material was dried at 40 centigrades.
2003-08-08,B,2,42.51,25.07,1.56,2.34,15,0,All material was dried at 40 centigrades.
2003-08-08,B,3,61.96,11.4,2.1,12.63,15,14,All material was dried at 40 centigrades.
2003-08-08,B,4,23.28,10.55,0.53,2.74,15,7.5,All material was dried at 40 centigrades.
2003-08-08,C,1,20.88,3.77,0.95,15.74,15,0,All material was dried at 40 centigrades.
2003-08-08,C,2,28.23,3.3,1.28,40.71,15,0,All material was dried at 40 centigrades.
2003-08-08,C,3,104.17,2.54,3.01,37.74,15,0,All material was dried at 40 centigrades.
2003-08-08,C,4,29.25,17.19,2.22,21.56,15,1.9,All material was dried at 40 centigrades.
2003-08-20,A,1,64.59,1.63,2.07,12.32,12,2.8,All material was dried at 40 centigrades.
2003-08-20,A,2,37.32,2.84,1.58,6.79,12,1.06,All material was dried at 40 centigrades.
2003-08-20,A,3,35.76,2.46,2.81,5.24,12,2.6,All material was dried at 40 centigrades.
2003-08-20,A,4,29.63,15.86,2.1,33.63,12,2.27,All material was dried at 40 centigrades.
2003-08-20,B,1,56.35,11.57,2.65,6.25,13,3.48,All material was dried at 40 centigrades.
2003-08-20,B,2,29.67,30.03,1.73,12.7,13,0,All material was dried at 40 centigrades.
2003-08-20,B,3,46.52,6.56,2.07,18.1,13,1.77,All material was dried at 40 centigrades.
2003-08-20,B,4,18.01,3.23,1,12.18,13,0,All material was dried at 40 centigrades.
2003-08-20,C,1,29.62,4.44,2.6,20.01,14,2.3,All material was dried at 40 centigrades.
2003-08-20,C,2,42.6,2.67,0.74,25.25,14,0,All material was dried at 40 centigrades.
2003-08-20,C,3,42.3,3.48,1.71,27.66,14,2.2,All material was dried at 40 centigrades.
2003-08-20,C,4,47,174.56,6.42,14.31,13,2.94,All material was dried at 40 centigrades.
2003-09-04,A,1,30.08,12.71,1.76,28.83,15,0,All material was dried at 40 centigrades.
2003-09-04,A,2,102.25,4.3,1.21,13.06,15,0,All material was dried at 40 centigrades.
2003-09-04,A,3,79.5,7.62,0.75,6.94,15,0,All material was dried at 40 centigrades.
2003-09-04,A,4,66.14,5.17,0.99,27.45,15,0,All material was dried at 40 centigrades.
2003-09-04,B,1,42.92,3.64,1.31,9.07,14,0,All material was dried at 40 centigrades.
2003-09-04,B,2,38.06,18.28,2.4,54.27,14,0,All material was dried at 40 centigrades.
2003-09-04,B,3,56.73,15.44,2.44,10.54,14,4,All material was dried at 40 centigrades.
2003-09-04,B,4,42.6,3.08,0.68,17.01,14,6,All material was dried at 40 centigrades.
2003-09-04,C,1,25.17,6.44,1.74,25.55,13,5.9,All material was dried at 40 centigrades.
2003-09-04,C,2,46.5,15.81,5.08,16.99,13,1.1,All material was dried at 40 centigrades.
2003-09-04,C,3,47.73,4.6,0.88,19.52,13,0,All material was dried at 40 centigrades.
2003-09-04,C,4,51.17,3.39,2.54,33.11,14,0,All material was dried at 40 centigrades.
2003-09-17,A,1,24.91,6.21,1.68,62.6,13,2,All material was dried at 40 centigrades.
2003-09-17,A,2,86.48,12.94,1.12,9.49,13,11,All material was dried at 40 centigrades.
2003-09-17,A,3,76.32,9.81,1.18,7.69,13,2,All material was dried at 40 centigrades.
2003-09-17,A,4,61.84,7.89,1.68,11.87,13,2.5,All material was dried at 40 centigrades.
2003-09-17,B,1,54.62,7.27,1.73,16.34,13,4,All material was dried at 40 centigrades.
2003-09-17,B,2,70.29,8.65,5.1,16.17,13,1,All material was dried at 40 centigrades.
2003-09-17,B,3,75.03,44.22,2.41,17.46,13,2,All material was dried at 40 centigrades.
2003-09-17,B,4,46.52,3.54,1.59,22,13,5,All material was dried at 40 centigrades.
2003-09-17,C,1,55.42,20.36,3.31,42.89,13,0,All material was dried at 40 centigrades.
2003-09-17,C,2,94.12,48.5,6.63,30.48,13,0,All material was dried at 40 centigrades.
2003-09-17,C,3,78.74,187.34,4.54,6.84,13,0,All material was dried at 40 centigrades.
2003-09-17,C,4,107.21,16.64,8.31,28.54,13,5,All material was dried at 40 centigrades.
2003-10-02,A,1,33.39,20.1,2.65,153.22,15,6.25,All material was dried at 40 centigrades.
2003-10-02,A,2,37.56,6.17,2,24.12,15,2.11,All material was dried at 40 centigrades.
2003-10-02,A,3,54.09,36.26,2.84,4.44,15,0.7,All material was dried at 40 centigrades.
2003-10-02,A,4,30,3.95,1.86,2.87,15,2.56,All material was dried at 40 centigrades.
2003-10-02,B,1,37.58,2.76,0.71,2.9,15,2.88,All material was dried at 40 centigrades.
2003-10-02,B,2,30.77,11.08,2.57,9.13,15,4,All material was dried at 40 centigrades.
2003-10-02,B,3,69.39,18.48,1.92,18.1,15,6.1,All material was dried at 40 centigrades.
2003-10-02,B,4,35.34,10.28,1.09,19.45,15,6,All material was dried at 40 centigrades.
2003-10-02,C,1,49.14,51.87,1.74,6.35,15,0,All material was dried at 40 centigrades.
2003-10-02,C,2,49.67,8.22,4,10.41,15,4.47,All material was dried at 40 centigrades.
2003-10-02,C,3,51.43,13.14,1.4,17.16,15,1.85,All material was dried at 40 centigrades.
2003-10-02,C,4,41.67,9.6,3.29,30.06,15,6.45,All material was dried at 40 centigrades.
2003-10-16,A,1,17.33,10.65,1.22,51.71,14,0,All material was dried at 40 centigrades.
2003-10-16,A,2,42.38,33.77,2.04,18.84,14,0,All material was dried at 40 centigrades.
2003-10-16,A,3,52.41,7.99,2.34,9.46,14,10.5,All material was dried at 40 centigrades.
2003-10-16,A,4,36.43,7.01,2.06,7.66,14,5.25,All material was dried at 40 centigrades.
2003-10-16,B,1,48.86,11.48,2.69,2.4,14,0,All material was dried at 40 centigrades.
2003-10-16,B,2,39.23,6.87,0.74,7.46,14,0,All material was dried at 40 centigrades.
2003-10-16,B,3,52.24,49.41,2.82,13.7,14,0,All material was dried at 40 centigrades.
2003-10-16,B,4,17.12,3.53,1.16,26.23,14,2,All material was dried at 40 centigrades.
