DATACODE,CARDTYPE,STUDYID,STAND,PLOT,YEAR,SPECIES,DECAY,POSITION,WVOL,BVOL,TVOL,WMASS,BMASS,TMASS,PCOVER,SURFAREA,N,P,K,CA,MG,MN,NA,S
TD012,4,ALCO,CH15,   1,1996,ALRU,2,S,4.02207,0.83492,4.85699,1.37152,0.36569,1.73722,0.00822,146.36815,1.73722,0.06775,0.25711,2.08466,0.14245,0.10597,0.05212,
TD012,4,ALCO,CH15,   1,1996,ALRU,3,L,8.86000,1.16715,10.02719,2.45421,0.51122,2.96544,0.76746,245.40884,2.96544,0.12159,0.41811,3.26202,0.36478,0.46856,0.11568,
TD012,4,ALCO,CH15,   1,1996,ALRU,3,S,5.10664,0.67271,5.77936,1.41453,0.29466,1.70919,0.01910,113.32998,1.70919,0.07007,0.24100,1.88010,0.21021,0.27004,0.06667,
TD012,4,ALCO,CH15,   1,1996,ALRU,4,L,3.14673,0.12976,3.27647,0.43111,0.05684,0.48792,0.27936,93.17656,1.17104,0.05416,0.08344,0.82948,0.12294,0.02536,0.02441,
TD012,4,ALCO,CH15,   1,1996,ALRU,4,S,0.37677,0.01553,0.39232,0.05162,0.00680,0.05842,0.00328,8.63069,0.14021,0.00648,0.00999,0.09932,0.01473,0.00304,0.00292,
TD012,4,ALCO,CH15,   1,1996,PISI,1,L,0.24993,0.01031,0.26023,0.10847,0.00554,0.11401,0.03267,13.76749,0.08665,0.01140,0.01824,0.11059,0.01368,,0.00570,
TD012,4,ALCO,CH15,   1,1996,PISI,1,S,1.56977,0.06473,1.63450,0.68128,0.03482,0.71611,0.00340,83.50831,0.54423,0.07161,0.11458,0.69462,0.08594,,0.03581,
TD012,4,ALCO,CH15,   1,1996,PISI,2,L,2.84352,0.11726,2.96075,0.85590,0.06307,0.91898,0.36392,145.95166,0.73519,0.07354,0.20218,0.77195,0.10108,,0.15622,
TD012,4,ALCO,CH15,   1,1996,PISI,2,S,0.60102,0.02478,0.62579,0.18091,0.01334,0.19424,0.00138,30.43021,0.15539,0.01554,0.04273,0.16316,0.02137,,0.03302,
TD012,4,ALCO,CH15,   1,1996,PISI,3,L,0.81792,0.01661,0.83453,0.23229,0.00893,0.24123,0.08147,28.26001,0.24605,0.02002,0.02172,0.26293,0.02895,,0.00966,
TD012,4,ALCO,CH15,   1,1996,PISI,3,S,0.12037,0.00244,0.12282,0.03419,0.00131,0.03550,0.00099,3.39399,0.03621,0.00295,0.00320,0.03870,0.00426,,0.00142,
TD012,4,ALCO,CH15,   1,1996,PISI,4,L,0.21759,0.00087,0.21847,0.03482,0.00047,0.03528,0.02125,6.98477,0.08045,0.00568,0.01129,0.05046,0.00917,,0.00318,
TD012,4,ALCO,CH15,   1,1996,PSME,3,S,0.19137,0.02521,0.21658,0.05301,0.01104,0.06405,0.00056,7.88637,0.06405,0.00263,0.00903,0.07046,0.00788,0.01012,0.00250,
TD012,4,ALCO,CH15,   1,1996,RHPU,2,L,0.12246,0.02542,0.14788,0.04176,0.01113,0.05289,0.02884,14.38862,0.05289,0.00206,0.00783,0.06347,0.00434,0.00323,0.00159,
TD012,4,ALCO,CH15,   1,1996,TSHE,3,L,0.17206,0.01156,0.18362,0.05506,0.00480,0.05986,0.02120,6.88429,0.06764,0.01856,0.02514,0.08141,0.01137,,0.00419,
TD012,4,ALCO,CH15,   1,1996,UNKN,4,L,38.63579,1.59306,40.22886,5.29310,0.69776,5.99087,0.79315,229.51535,14.37807,0.66499,1.02443,10.18447,1.50970,0.31152,0.29954,
TD012,4,ALCO,CH15,   1,1996,UNKN,5,L,131.20525,1.32196,132.52721,19.41838,0.57902,19.99740,2.23073,488.00278,89.32836,5.33930,6.19919,59.99219,13.11829,1.11985,3.85950,
TD012,4,ALCO,CH17,   1,1996,ALRU,1,S,0.15467,0.03628,0.19096,0.06960,0.01589,0.08549,0.00066,6.66043,0.07695,0.00342,0.01325,0.11969,0.00598,0.00470,0.00205,
TD012,4,ALCO,CH17,   1,1996,ALRU,2,L,2.34884,0.48759,2.83642,0.80096,0.21357,1.01453,0.24073,78.47951,1.01453,0.03957,0.15015,1.21742,0.08318,0.06189,0.03042,
TD012,4,ALCO,CH17,   1,1996,ALRU,2,S,1.91378,0.39727,2.31105,0.65260,0.17400,0.82660,0.00326,55.25519,0.82660,0.03224,0.12234,0.99192,0.06778,0.05042,0.02480,
TD012,4,ALCO,CH17,   1,1996,ALRU,3,L,0.18622,0.02453,0.21076,0.05158,0.01074,0.06233,0.02175,7.02825,0.06233,0.00256,0.00879,0.06856,0.00767,0.00985,0.00243,
TD012,4,ALCO,CH17,   1,1996,ALRU,3,S,0.96841,0.12757,1.09597,0.26824,0.05588,0.32413,0.00440,22.82745,0.32413,0.01329,0.04570,0.35654,0.03987,0.05121,0.01264,
TD012,4,ALCO,CH17,   1,1996,PISI,1,L,0.74860,0.03086,0.77947,0.32489,0.01661,0.34150,0.07622,27.77712,0.25954,0.03415,0.05464,0.33125,0.04098,,0.01708,
TD012,4,ALCO,CH17,   1,1996,PISI,1,S,2.02306,0.08342,2.10648,0.87801,0.04487,0.92290,0.00439,90.04113,0.70139,0.09228,0.14766,0.89520,0.11075,,0.04615,
TD012,4,ALCO,CH17,   1,1996,PISI,2,L,3.59299,0.14815,3.74114,1.08150,0.07972,1.16119,0.38803,146.73665,0.92895,0.09288,0.25546,0.97541,0.12773,,0.19740,
TD012,4,ALCO,CH17,   1,1996,PISI,2,S,5.22637,0.21550,5.44187,1.57313,0.11594,1.68908,0.00818,161.37895,1.35127,0.13512,0.37159,1.41883,0.18580,,0.28715,
TD012,4,ALCO,CH17,   1,1996,PISI,3,L,6.47063,0.13138,6.60201,1.83766,0.07068,1.90835,0.44545,180.78229,1.94650,0.15840,0.17175,2.08009,0.22900,,0.07634,
TD012,4,ALCO,CH17,   1,1996,PISI,3,S,0.17799,0.00361,0.18160,0.05055,0.00194,0.05249,0.00039,10.63888,0.05354,0.00436,0.00472,0.05722,0.00630,,0.00210,
TD012,4,ALCO,CH17,   1,1996,PISI,4,L,0.16939,0.00068,0.17007,0.02710,0.00037,0.02747,0.01940,6.38901,0.06263,0.00442,0.00879,0.03928,0.00714,,0.00247,
TD012,4,ALCO,CH17,   1,1996,PSME,1,S,5.27264,1.23679,6.50945,2.37269,0.54171,2.91442,0.00759,194.08707,2.62297,0.11657,0.45173,4.08017,0.20401,0.16030,0.06994,
TD012,4,ALCO,CH17,   1,1996,PSME,2,L,1.13293,0.23518,1.36810,0.38633,0.10301,0.48934,0.09868,36.46252,0.48934,0.01908,0.07242,0.58720,0.04013,0.02985,0.01468,
TD012,4,ALCO,CH17,   1,1996,PSME,2,S,14.43720,2.99692,17.43413,4.92309,1.31266,6.23575,0.02554,423.53442,6.23575,0.24320,0.92290,7.48288,0.51133,0.38038,0.18706,
TD012,4,ALCO,CH17,   1,1996,PSME,3,L,12.79868,1.68602,14.48469,3.54523,0.73848,4.28371,0.73450,273.97263,4.28371,0.17564,0.60401,4.71207,0.52689,0.67682,0.16708,
TD012,4,ALCO,CH17,   1,1996,PSME,3,S,2.86407,0.37730,3.24135,0.79335,0.16524,0.95860,0.01448,59.95559,0.95860,0.03930,0.13517,1.05445,0.11791,0.15145,0.03738,
TD012,4,ALCO,CH17,   1,1996,PSME,4,L,13.85796,0.57141,14.42936,1.89854,0.25027,2.14882,0.32945,97.56224,5.15715,0.23851,0.36744,3.65299,0.54150,0.11174,0.10744,
TD012,4,ALCO,CH17,   1,1996,UNKN,3,L,0.10286,0.01355,0.11641,0.02849,0.00594,0.03443,0.01482,4.65651,0.03443,0.00141,0.00485,0.03787,0.00423,0.00544,0.00134,
TD012,4,ALCO,CH17,   1,1996,UNKN,4,L,41.40546,1.70727,43.11271,5.67254,0.74778,6.42033,0.96018,298.11632,15.40880,0.71266,1.09788,10.91456,1.61793,0.33386,0.32102,
TD012,4,ALCO,CH22,   1,1996,ALRU,1,L,0.85523,0.20061,1.05583,0.38486,0.08787,0.47271,0.09908,39.53565,0.42545,0.01891,0.07327,0.66181,0.03310,0.02599,0.01134,
TD012,4,ALCO,CH22,   1,1996,ALRU,1,S,0.40913,0.09597,0.50510,0.18411,0.04203,0.22614,0.00078,11.24718,0.20353,0.00905,0.03505,0.31660,0.01583,0.01244,0.00543,
TD012,4,ALCO,CH22,   1,1996,ALRU,2,L,4.68883,0.97333,5.66217,1.59887,0.42630,2.02518,0.45564,161.57999,2.02518,0.07901,0.29972,2.43026,0.16607,0.12353,0.06077,
TD012,4,ALCO,CH22,   1,1996,ALRU,2,S,2.20476,0.45767,2.66243,0.75182,0.20047,0.95229,0.00380,66.76697,0.95229,0.03714,0.14094,1.14274,0.07808,0.05810,0.02858,
TD012,4,ALCO,CH22,   1,1996,ALRU,3,L,7.10735,0.93629,8.04361,1.96871,0.41008,2.37882,0.71904,250.82771,2.37882,0.09754,0.33542,2.61674,0.29260,0.37584,0.09277,
TD012,4,ALCO,CH22,   1,1996,ALRU,3,S,3.96674,0.52257,4.48929,1.09878,0.22889,1.32767,0.00913,88.07382,1.32767,0.05443,0.18720,1.46044,0.16331,0.20976,0.05178,
TD012,4,ALCO,CH22,   1,1996,ALRU,4,L,3.00870,0.12405,3.13272,0.41218,0.05432,0.46653,0.28120,88.32241,1.11964,0.05176,0.07977,0.79308,0.11756,0.02427,0.02336,
TD012,4,ALCO,CH22,   1,1996,ALRU,5,L,0.04803,0.00048,0.04852,0.00711,0.00021,0.00732,0.00741,1.73581,0.03270,0.00195,0.00227,0.02196,0.00480,0.00041,0.00141,
TD012,4,ALCO,CH22,   1,1996,PISI,2,S,0.06551,0.00270,0.06822,0.01972,0.00145,0.02117,0.00019,5.24066,0.01694,0.00169,0.00466,0.01779,0.00233,,0.00360,
TD012,4,ALCO,CH22,   1,1996,SARA,3,L,0.23228,0.03059,0.26288,0.06433,0.01341,0.07774,0.02856,10.05975,0.07774,0.00319,0.01096,0.08552,0.00957,0.01228,0.00303,
TD012,4,ALCO,CH22,   1,1996,UNKN,4,L,2.48436,0.10244,2.58680,0.34036,0.04487,0.38523,0.06858,19.41890,0.92454,0.04276,0.06587,0.65488,0.09708,0.02003,0.01926,
TD012,4,ALCO,CH22,   1,1996,UNKN,5,L,28.61803,0.28834,28.90636,4.23547,0.12629,4.36176,0.80644,191.47401,19.48399,1.16459,1.35214,13.08529,2.86132,0.24426,0.84183,
TD012,4,ALCO,CH23,   1,1996,ALRU,1,L,2.85985,0.67083,3.53068,1.28693,0.29382,1.58075,0.23678,96.37842,1.42268,0.06323,0.24501,2.21306,0.11066,0.08695,0.03794,
TD012,4,ALCO,CH23,   1,1996,ALRU,1,S,0.74437,0.17461,0.91898,0.33497,0.07648,0.41144,0.00186,19.38215,0.37030,0.01646,0.06377,0.57602,0.02880,0.02263,0.00987,
TD012,4,ALCO,CH23,   1,1996,ALRU,2,L,3.49964,0.72647,4.22610,1.19337,0.31819,1.51157,0.36666,132.66478,1.51157,0.05895,0.22371,1.81388,0.12395,0.09220,0.04535,
TD012,4,ALCO,CH23,   1,1996,ALRU,2,S,0.94694,0.19657,1.14351,0.32291,0.08610,0.40900,0.00291,27.83275,0.40900,0.01595,0.06053,0.49080,0.03354,0.02495,0.01227,
TD012,4,ALCO,CH23,   1,1996,ALRU,3,L,19.21750,2.53161,21.74910,5.32325,1.10882,6.43205,1.51708,507.77752,6.43205,0.26374,0.90692,7.07528,0.79114,1.01627,0.25086,
TD012,4,ALCO,CH23,   1,1996,ALRU,3,S,0.35353,0.04657,0.40010,0.09793,0.02040,0.11832,0.00095,11.03933,0.11832,0.00485,0.01668,0.13016,0.01455,0.01870,0.00461,
TD012,4,ALCO,CH23,   1,1996,ALRU,4,L,2.44547,0.10084,2.54629,0.33502,0.04417,0.37919,0.20179,70.06854,0.91007,0.04208,0.06484,0.64463,0.09555,0.01972,0.01896,
TD012,4,ALCO,CH23,   1,1996,PISI,1,S,0.14270,0.00588,0.14858,0.06193,0.00317,0.06510,0.00042,11.41494,0.04947,0.00651,0.01042,0.06314,0.00781,,0.00325,
TD012,4,ALCO,CH23,   1,1996,SARA,2,L,0.18716,0.03885,0.22601,0.06382,0.01702,0.08084,0.02009,8.29262,0.08084,0.00315,0.01196,0.09701,0.00663,0.00493,0.00243,
TD012,4,ALCO,CH23,   1,1996,SARA,4,L,0.26050,0.01074,0.27124,0.03569,0.00470,0.04039,0.03140,14.51209,0.09694,0.00448,0.00691,0.06867,0.01018,0.00210,0.00202,
TD012,4,ALCO,CH23,   1,1996,UNKN,4,L,8.25029,0.34019,8.59047,1.13029,0.14900,1.27929,0.21819,69.22073,3.07029,0.14200,0.21876,2.17479,0.32238,0.06653,0.06397,
TD012,4,ALCO,CH23,   1,1996,UNKN,5,L,19.31907,0.19464,19.51371,2.85922,0.08526,2.94448,0.49362,134.89137,13.15299,0.78617,0.91279,8.83344,1.93157,0.16489,0.56828,
TD012,4,DFGY,CC,   1,1997,ABGR,3,S,27.92458,2.47678,30.40136,5.64076,1.46130,7.10207,0.07419,248.77201,13.61466,0.79543,17.27222,36.63246,3.38768,0.90907,,
TD012,4,DFGY,CC,   1,1997,ABGR,4,S,2.15914,0.01694,2.17608,0.39944,0.00999,0.40943,0.00608,47.32035,0.87619,0.04094,0.94702,2.36694,0.26900,0.06715,,
TD012,4,DFGY,CC,   1,1997,PSME,4,S,19.14854,0.78955,19.93809,2.62336,0.34582,2.96917,0.19432,114.44459,7.12601,0.32957,0.50773,5.04760,0.74824,0.15440,0.14846,
TD012,4,DFGY,CC,   1,1997,TSHE,1,S,0.35112,0.03793,0.38905,0.13202,0.01263,0.14465,0.00181,23.34960,0.11572,0.01345,0.10994,0.20251,0.02112,0.03616,0.00260,
TD012,4,DFGY,CC,   1,1997,UNKN,4,S,27.26493,1.12421,28.38915,3.73530,0.49241,4.22771,0.10427,240.31187,10.14648,0.46928,0.72293,7.18709,1.06539,0.21984,0.21138,
TD012,4,DFGY,CC,   2,1997,PSME,3,S,205.06745,27.01432,232.08176,56.80368,11.83227,68.63595,0.19950,823.31480,68.63595,2.81407,9.67767,75.49955,8.44222,10.84448,2.67680,
TD012,4,DFGY,CC,   2,1997,PSME,4,S,32.68718,1.34779,34.03497,4.47814,0.59033,5.06847,0.12566,234.46265,12.16433,0.56261,0.86670,8.61640,1.27726,0.26356,0.25342,
TD012,4,DFGY,CC,   3,1997,PSME,2,S,902.18975,187.27982,1089.46956,307.64670,82.02856,389.67526,0.40269,5234.59333,389.67526,15.19734,57.67194,467.61031,31.95337,23.77020,11.69026,
TD012,4,DFGY,CC,   3,1997,PSME,3,S,159.57829,21.02186,180.60015,44.20319,9.20757,53.41076,0.14912,1125.35162,53.41076,2.18984,7.53091,58.75184,6.56953,8.43890,2.08302,
TD012,4,DFGY,CC,   3,1997,PSME,4,S,39.24433,1.61815,40.86249,5.37647,0.70875,6.08523,0.07258,240.91381,14.60454,0.67546,1.04057,10.34488,1.53348,0.31643,0.30426,
TD012,4,DFGY,CC,   4,1997,ABGR,2,S,4.26603,1.30338,5.56942,1.42059,0.76900,2.18958,0.00849,150.56840,2.61436,0.17517,2.92747,5.84619,0.88459,0.24304,,
TD012,4,DFGY,CC,   4,1997,PIMO,4,S,75.44616,0.18140,75.62756,13.05219,0.10158,13.15377,0.16619,295.85181,35.51518,1.17069,39.29031,31.68743,7.72126,1.32853,,
TD012,4,DFGY,CC,   4,1997,PSME,3,S,44.58698,5.87361,50.46060,12.35059,2.57264,14.92324,0.04227,438.21302,14.92324,0.61185,2.10418,16.41556,1.83556,2.35787,0.58201,
TD012,4,DFGY,CC,   4,1997,PSME,4,S,13.15135,0.54227,13.69362,1.80173,0.23751,2.03924,0.10923,112.35487,4.89419,0.22635,0.34872,3.46673,0.51389,0.10604,0.10197,
TD012,4,DFGY,CC,   4,1997,UNKN,4,S,2.84380,0.11726,2.96106,0.38960,0.05136,0.44096,0.03398,24.44216,1.05830,0.04895,0.07540,0.74963,0.11112,0.02293,0.02205,
TD012,4,DFGY,CC,   5,1997,PSME,4,B,37.69911,0.00000,37.69911,5.16478,0.00000,5.16478,1.00530,75.39822,12.39547,0.57329,0.88317,8.78013,1.30152,0.26857,0.25824,
TD012,4,DFGY,CC,   5,1997,PSME,4,S,62.59465,2.58095,65.17560,8.57547,1.13045,9.70592,0.15381,442.51198,23.29422,1.07735,1.65971,16.50007,2.44589,0.50471,0.48529,
TD012,4,DFGY,CC,   5,1997,TSHE,3,S,0.95914,0.06025,1.01938,0.23211,0.02500,0.25711,0.00322,27.20361,0.30854,0.02263,0.09128,0.43709,0.05168,0.07482,0.01080,
TD012,4,DFGY,CC,   5,1997,UNKN,4,S,5.33100,0.21981,5.55082,0.73035,0.09628,0.82663,0.02545,65.25706,1.98390,0.09176,0.14135,1.40526,0.20831,0.04298,0.04133,
TD012,4,DFGY,CC,   6,1997,PSME,2,S,978.57834,203.13684,1181.71519,333.69522,88.97394,422.66916,0.49989,5158.60502,422.66916,16.48409,62.55504,507.20299,34.65887,25.78282,12.68007,
TD012,4,DFGY,CC,   6,1997,PSME,4,S,29.76876,1.22745,30.99621,4.07832,0.53762,4.61594,0.07645,167.62841,11.07826,0.51237,0.78933,7.84710,1.16322,0.24003,0.23080,
TD012,4,DFGY,CC,   6,1997,THPL,3,S,7.70586,1.01512,8.72098,2.13452,0.44462,2.57915,0.01368,120.66300,2.57915,0.10574,0.36366,2.83706,0.31723,0.40750,0.10059,
TD012,4,DFGY,CC,   7,1997,PSME,2,S,413.24034,85.78193,499.02226,140.91495,37.57248,178.48744,0.19012,2364.32091,178.48744,6.96101,26.41614,214.18493,14.63597,10.88773,5.35462,
TD012,4,DFGY,CC,   7,1997,PSME,4,S,42.84134,1.76647,44.60781,5.86927,0.77371,6.64297,0.19265,264.16278,15.94314,0.73736,1.13595,11.29306,1.67404,0.34544,0.33215,
TD012,4,DFGY,CC,   7,1997,THPL,3,S,21.81907,2.87431,24.69338,6.04389,1.25894,7.30283,0.03098,477.20429,7.30283,0.29941,1.02970,8.03311,0.89825,1.15384,0.28481,
TD012,4,DFGY,CC,   8,1997,ABAM,2,S,5.92446,1.22982,7.15429,2.02024,0.53866,2.55890,0.01208,189.61419,2.55890,0.09980,0.37872,3.07069,0.20983,0.15609,0.07677,
TD012,4,DFGY,CC,   8,1997,PSME,2,S,145.91156,30.28885,176.20041,49.75584,13.26652,63.02236,0.09079,1055.03328,63.02236,2.45787,9.32731,75.62683,5.16783,3.84436,1.89067,
TD012,4,DFGY,CC,   8,1997,PSME,4,S,11.40725,0.47035,11.87760,1.56279,0.20601,1.76881,0.06943,93.21702,4.24514,0.19634,0.30247,3.00698,0.44574,0.09198,0.08844,
TD012,4,DFGY,CC,   8,1997,TSHE,2,S,5.91987,0.57104,6.49091,1.74636,0.23698,1.98334,0.00665,137.61306,2.18168,0.11702,0.40262,2.57834,0.17057,0.22808,0.04363,
TD012,4,DFGY,CC,   8,1997,UNKN,3,S,19.22319,2.53234,21.75553,5.32482,1.10917,6.43399,0.04524,185.16751,6.43399,0.26379,0.90719,7.07739,0.79138,1.01657,0.25093,
TD012,4,DFGY,CC,   8,1997,UNKN,4,S,5.23904,0.21602,5.45506,0.71775,0.09462,0.81237,0.02112,57.48095,1.94968,0.09017,0.13891,1.38102,0.20472,0.04224,0.04062,
TD012,4,DFGY,CC,   9,1997,ABGR,3,S,71.46656,6.33876,77.80531,14.43624,3.73987,18.17611,0.07451,462.55842,34.84360,2.03572,44.20430,93.75238,8.67000,2.32654,,
TD012,4,DFGY,CC,   9,1997,PSME,4,S,4.34475,0.17915,4.52389,0.59523,0.07847,0.67370,0.04524,30.15929,1.61687,0.07478,0.11520,1.14528,0.16977,0.03503,0.03368,
TD012,4,DFGY,CC,  10,1997,PSME,3,S,75.65994,9.96697,85.62691,20.95780,4.36553,25.32334,0.09058,565.83440,25.32334,1.03826,3.57059,27.85568,3.11477,4.00109,0.98761,
TD012,4,DFGY,CC,  10,1997,PSME,4,S,164.64637,6.78883,171.43520,22.55655,2.97351,25.53006,0.30058,1062.67544,61.27215,2.83385,4.36563,43.40111,6.43357,1.32756,1.27650,
TD012,4,DFGY,CC,  10,1997,TSHE,3,S,0.64309,0.04039,0.68348,0.15563,0.01676,0.17239,0.00212,31.18863,0.20687,0.01517,0.06120,0.29307,0.03465,0.05017,0.00724,
TD012,4,DFGY,CC,  11,1997,PSME,3,S,55.32114,7.28766,62.60880,15.32395,3.19200,18.51595,0.07069,386.76643,18.51595,0.75915,2.61075,20.36755,2.27746,2.92552,0.72212,
TD012,4,DFGY,CC,  11,1997,PSME,4,S,32.95515,1.35883,34.31399,4.51486,0.59517,5.11002,0.19404,203.48564,12.26405,0.56721,0.87382,8.68704,1.28772,0.26572,0.25550,
TD012,4,DFGY,CC,  11,1997,TSHE,1,S,8.91528,0.96315,9.87842,3.35214,0.32073,3.67287,0.01368,246.42650,2.93830,0.34158,2.79138,5.14202,0.53624,0.91822,0.06611,
TD012,4,DFGY,CC,  11,1997,TSHE,3,S,62.76930,3.94267,66.71197,15.19017,1.63621,16.82639,0.08209,546.60522,20.19166,1.48072,5.97336,28.60485,3.38211,4.89647,0.70671,
TD012,4,DFGY,CC,  12,1997,PSME,2,S,267.24306,55.47528,322.71835,91.12988,24.29817,115.42806,0.18398,2084.32511,115.42806,4.50169,17.08335,138.51367,9.46510,7.04111,3.46284,
TD012,4,DFGY,CC,  12,1997,PSME,4,S,25.66680,1.05831,26.72511,3.51635,0.46354,3.97989,0.10636,138.71099,9.55174,0.44177,0.68056,6.76582,1.00293,0.20695,0.19899,
TD012,4,DFGY,CC,  13,1997,TSHE,2,S,17.65734,1.70325,19.36059,5.20892,0.70685,5.91576,0.01453,284.07781,6.50734,0.34903,1.20090,7.69049,0.50876,0.68031,0.13015,
TD012,4,DFGY,CC,  14,1997,PSME,4,S,73.08468,3.01348,76.09818,10.01260,1.31991,11.33251,0.21103,466.17902,27.19802,1.25791,1.93786,19.26527,2.85579,0.58930,0.56663,
TD012,4,DFGY,CC,  14,1997,THPL,3,S,3.99631,0.52645,4.52276,1.10698,0.23058,1.33756,0.00724,93.55221,1.33756,0.05484,0.18860,1.47132,0.16452,0.21134,0.05216,
TD012,4,DFGY,CC,  14,1997,TSHE,2,S,2.36475,0.22811,2.59286,0.69760,0.09466,0.79227,0.00608,80.18881,0.87149,0.04674,0.16083,1.02995,0.06813,0.09111,0.01743,
TD012,4,DFGY,CC,  14,1997,TSHE,3,S,1.15273,0.07241,1.22514,0.27896,0.03005,0.30901,0.00363,41.82088,0.37081,0.02719,0.10970,0.52532,0.06211,0.08992,0.01298,
