Year,Site,Zone,Plot,Quadrat_Area,Flag_Quadrat_Area,Plot_Disturbance,Percent_Calculated_Biomass,Flag_Percent_Calculated_Biomass,Num_Plant_Biomass_m2,Flag_Num_Plant_Biomass_m2,Min_Plant_Biomass_m2,Flag_Min_Plant_Biomass_m2,Max_Plant_Biomass_m2,Flag_Max_Plant_Biomass_m2,Total_Plant_Biomass_m2,Flag_Total_Plant_Biomass_m2,Mean_Plant_Biomass_m2,Flag_Mean_Plant_Biomass_m2,StdDev_Plant_Biomass_m2,Flag_StdDev_Plant_Biomass_m2,SE_Plant_Biomass_m2,Flag_SE_Plant_Biomass_m2
2000,3,1,2,0.25,,0,100,,15,,9.57,,89.15,,765.31,,51.021,,27.672,,7.145,
2000,3,1,3,0.25,,0,100,,24,,4.07,,89.15,,988.88,,41.203,,32.136,,6.5598,
2000,3,1,4,0.25,,0,100,,15,,9.57,,89.15,,611.87,,40.791,,29.645,,7.6543,
2000,3,1,5,0.25,,0,100,,15,,2.07,,89.15,,728.35,,48.557,,30.907,,7.9803,
2000,3,1,6,0.25,,0,100,,15,,12.98,,101.23,,1066.32,,71.088,,27.5,,7.1005,
2000,3,1,7,0.25,,0,100,,12,,12.98,,89.15,,613.79,,51.149,,29.838,,8.6136,
2000,3,1,8,0.25,,0,100,,13,,12.98,,89.15,,942.73,,72.518,,26.321,,7.3002,
2000,3,2,1,0.0625,,0,100,,23,,2.59,,22.6,,301.99,,13.13,,6.492,,1.3537,
2000,3,2,2,0.0625,,0,100,,30,,5.41,,22.6,,376.45,,12.548,,4.854,,0.8863,
2000,3,2,3,0.0625,,0,100,,20,,7.88,,44.29,,425.12,,21.256,,8.322,,1.8609,
2000,3,2,4,0.0625,,0,100,,24,,2.23,,32.92,,358.96,,14.957,,7.909,,1.6145,
2000,3,2,5,0.0625,,0,100,,15,,1.89,,22.6,,136.39,,9.093,,5.598,,1.4453,
2000,3,2,6,0.0625,,0,100,,16,,1.89,,52.15,,357.27,,22.329,,16.1,,4.025,
2000,3,2,7,0.0625,,0,100,,8,,9.3,,94.38,,203.5,,25.438,,28.482,,10.0698,
2000,3,2,8,0.0625,,0,100,,13,,4.36,,35.81,,194.73,,14.979,,8.148,,2.2598,
2000,4,1,1,0.25,,0,100,,25,,5.48,,132.87,,1534.3,,61.372,,31.787,,6.3574,
2000,4,1,2,0.25,,0,100,,17,,11.7,,101.01,,956.66,,56.274,,30.712,,7.4488,
2000,4,1,3,0.25,,0,100,,21,,20.04,,132.87,,1362.94,,64.902,,32.021,,6.9875,
2000,4,1,4,0.25,,0,100,,11,,11.7,,111.18,,561.22,,51.02,,29.61,,8.9278,
2000,4,1,5,0.25,,0,100,,7,,3.2,,111.18,,372.44,,53.205,,48.974,,18.5104,
2000,4,1,6,0.25,,0,100,,16,,5.48,,132.87,,914.46,,57.153,,34.481,,8.6203,
2000,4,1,7,0.25,,0,100,,13,,30.42,,101.01,,737.35,,56.719,,23.816,,6.6054,
2000,4,1,8,0.25,,0,100,,12,,3.2,,101.01,,623.71,,51.976,,27.194,,7.8503,
2000,4,2,1,0.0625,,0,100,,26,,2.87,,44.99,,280.06,,10.771,,9.301,,1.824,
2000,4,2,2,0.0625,,0,100,,17,,2.87,,103.59,,299.11,,17.594,,24.756,,6.0042,
2000,4,2,3,0.0625,,0,100,,24,,2.87,,30.72,,315.05,,13.127,,7.311,,1.4923,
2000,4,2,4,0.0625,,0,100,,14,,4.41,,38.6,,261.53,,18.681,,11.149,,2.9798,
2000,4,2,5,0.0625,,0,100,,37,,2.21,,25.31,,321.39,,8.686,,5.96,,0.9798,
2000,4,2,6,0.0625,,0,100,,34,,2.87,,27.06,,350.06,,10.296,,6.248,,1.0716,
2000,4,2,7,0.0625,,0,100,,45,,2.21,,14.43,,352.3,,7.829,,2.836,,0.4227,
2000,4,2,8,0.0625,,0,100,,39,,2.87,,23.6,,329.1,,8.438,,4.991,,0.7992,
2000,5,1,1,0.25,,0,100,,25,,10.77,,136.38,,2022.26,,80.89,,41.97,,8.394,
2000,5,1,2,0.25,,0,100,,29,,10.77,,156.9,,2019.83,,69.649,,39.085,,7.2579,
2000,5,1,3,0.25,,0,100,,27,,10.77,,178.8,,2599.3,,96.27,,48.153,,9.2671,
2000,5,1,4,0.25,,0,100,,21,,7.57,,164.05,,1295.96,,61.712,,45.683,,9.9688,
2000,5,1,5,0.25,,0,100,,16,,28.99,,164.05,,1147.31,,71.707,,42.335,,10.5836,
2000,5,1,6,0.25,,0,100,,19,,23.64,,99.53,,993.38,,52.283,,19.382,,4.4465,
2000,5,1,7,0.25,,0,100,,23,,2.81,,111.19,,1333.15,,57.963,,31.136,,6.4924,
2000,5,1,8,0.25,,0,100,,20,,14.53,,99.53,,960.93,,48.047,,21.875,,4.8914,
2000,5,2,1,0.0625,,0,100,,14,,2.73,,45.24,,355.57,,25.398,,14.968,,4.0004,
2000,5,2,2,0.0625,,0,100,,14,,5.85,,47.95,,361.56,,25.825,,15.385,,4.1118,
2000,5,2,3,0.0625,,0,100,,8,,2.73,,50.74,,221.36,,27.67,,21.389,,7.5622,
2000,5,2,4,0.0625,,0,100,,16,,2.73,,20.75,,157.71,,9.857,,4.791,,1.1978,
2000,5,2,5,0.0625,,0,100,,9,,1.63,,14.24,,58.87,,6.541,,4.44,,1.4801,
2000,5,2,6,0.0625,,0,100,,33,,1.18,,45.24,,339.18,,10.278,,9.084,,1.5813,
2000,5,2,7,0.0625,,0,100,,19,,1.63,,56.57,,298.19,,15.694,,14.881,,3.4139,
2000,5,2,8,0.0625,,0,100,,26,,2.73,,94.53,,412.58,,15.868,,17.983,,3.5267,
2000,6,1,1,0.25,,0,100,,20,,24.8,,84.4,,1032.63,,51.632,,13.57,,3.0344,
2000,6,1,2,0.25,,0,100,,18,,29.86,,75.34,,749.19,,41.621,,10.675,,2.5162,
2000,6,1,3,0.25,,0,100,,17,,29.86,,93.91,,987.44,,58.085,,17.024,,4.1289,
2000,6,1,4,0.25,,0,100,,13,,47.38,,125,,1053.18,,81.014,,23.777,,6.5944,
2000,6,1,5,0.25,,0,100,,20,,20.16,,103.84,,1069.42,,53.471,,17.904,,4.0035,
2000,6,1,6,0.25,,0,100,,25,,20.16,,114.21,,1390.37,,55.615,,18.342,,3.6684,
2000,6,1,7,0.25,,0,100,,21,,35.31,,103.84,,1426.76,,67.941,,17.197,,3.7527,
2000,6,1,8,0.25,,0,100,,21,,47.38,,136.21,,1503.64,,71.602,,22.946,,5.0073,
2000,6,2,1,0.0625,,0,100,,15,,8.24,,50.24,,396.1,,26.406,,11.918,,3.0772,
2000,6,2,2,0.0625,,0,100,,14,,2.1,,68.09,,296.55,,21.182,,19.582,,5.2334,
2000,6,2,3,0.0625,,0,100,,14,,4.67,,132.25,,398.92,,28.494,,33.284,,8.8954,
2000,6,2,4,0.0625,,0,100,,17,,5.75,,50.24,,444.18,,26.128,,13.05,,3.165,
2000,6,2,5,0.0625,,0,100,,14,,2.1,,22.57,,123.78,,8.841,,6.116,,1.6345,
2000,6,2,6,0.0625,,0,100,,10,,2.1,,18.34,,95.04,,9.504,,4.74,,1.4989,
2000,6,2,7,0.0625,,0,100,,13,,2.1,,84.3,,233.8,,17.984,,22.661,,6.285,
2000,6,2,8,0.0625,,0,100,,12,,2.1,,22.57,,105.64,,8.803,,6.535,,1.8865,
2000,7,1,1,0.5,,0,100,,14,,42.75,,105.97,,1062.09,,75.864,,21.128,,5.6467,
2000,7,1,2,0.5,,0,100,,19,,52.28,,217.93,,2874.7,,151.3,,43.133,,9.8955,
2000,7,1,3,0.5,,0,100,,15,,34.53,,247.71,,2521.37,,168.091,,57.33,,14.8024,
2000,7,1,4,0.5,,0,100,,12,,27.51,,190.82,,1414.72,,117.894,,50.767,,14.655,
2000,7,1,5,0.5,,0,100,,12,,42.75,,217.93,,1656.62,,138.052,,60.676,,17.5156,
2000,7,1,6,0.5,,0,100,,12,,27.51,,123.92,,961.73,,80.144,,33.029,,9.5345,
2000,7,1,7,0.5,,0,100,,13,,6.6,,105.97,,893.67,,68.744,,29.825,,8.272,
2000,7,1,8,0.5,,0,100,,11,,52.28,,123.92,,974.99,,88.636,,26.482,,7.9847,
2000,7,2,1,0.5,,0,100,,10,,20.81,,370.25,,1040.07,,104.007,,102.15,,32.3026,
2000,7,2,2,0.5,,0,100,,14,,35.28,,103.36,,993.88,,70.991,,16.132,,4.3115,
2000,7,2,3,0.5,,0,100,,9,,35.28,,103.36,,546.46,,60.717,,24.649,,8.2162,
2000,7,2,4,0.5,,0,100,,10,,35.28,,85.23,,520.95,,52.095,,17.428,,5.5113,
2000,7,2,5,0.5,,0,100,,9,,8.02,,103.36,,473.77,,52.642,,35.209,,11.7363,
2000,7,2,6,0.5,,0,100,,16,,20.81,,85.23,,705.89,,44.118,,17.301,,4.3253,
2000,7,2,7,0.5,,0,100,,9,,85.23,,175.23,,1291.83,,143.536,,37.469,,12.4896,
2000,7,2,8,0.5,,0,100,,18,,44.83,,205.92,,2059.58,,114.421,,42.092,,9.9212,
2000,8,1,1,0.25,,0,100,,7,,26.81,,253.48,,785.87,,112.267,,84.675,,32.0041,
2000,8,1,2,0.25,,0,100,,14,,0.21,,161.69,,1078.84,,77.06,,40.271,,10.7627,
2000,8,1,3,0.25,,0,100,,12,,32.53,,373.4,,1245.8,,103.817,,107.322,,30.9811,
2000,8,1,4,0.25,,0,100,,9,,10.44,,121.51,,509.53,,56.615,,30.649,,10.2162,
2000,8,1,5,0.25,,0,100,,8,,10.44,,280.69,,808.63,,101.079,,91.571,,32.3753,
2000,8,1,6,0.25,,0,100,,19,,17.4,,182.18,,1435.94,,75.576,,41.394,,9.4963,
2000,8,1,7,0.25,,0,100,,13,,17.4,,228.02,,971.71,,74.747,,58.555,,16.2404,
2000,8,1,8,0.25,,0,100,,18,,38.98,,253.48,,2165.93,,120.329,,66.409,,15.6527,
2000,8,2,1,0.0625,,0,100,,31,,17.28,,58.64,,1248.45,,40.273,,11.135,,2,
2000,8,2,2,0.0625,,0,100,,15,,10.68,,44.55,,453.52,,30.235,,10.613,,2.7403,
2000,8,2,3,0.0625,,0,100,,26,,8.75,,53.8,,1032.18,,39.699,,10.097,,1.9803,
2000,8,2,4,0.0625,,0,100,,21,,5.29,,63.62,,819.6,,39.028,,19.035,,4.1538,
2000,8,2,5,0.0625,,0,100,,27,,31.83,,63.62,,1251.28,,46.344,,9.179,,1.7665,
2000,8,2,6,0.0625,,0,100,,13,,35.91,,53.8,,571.87,,43.99,,6.022,,1.6702,
2000,8,2,7,0.0625,,0,100,,15,,6.95,,53.8,,518.87,,34.592,,14.589,,3.7669,
2000,8,2,8,0.0625,,0,100,,18,,6.95,,58.64,,628.32,,34.907,,16.536,,3.8977,
2000,9,1,1,0.25,,0,100,,20,,9.08,,150.16,,1484.16,,74.208,,48.818,,10.9161,
2000,9,1,2,0.25,,0,100,,29,,6.35,,131.36,,2575.22,,88.801,,36.046,,6.6936,
2000,9,1,3,0.25,,0,100,,35,,4,,113.53,,1291.19,,36.891,,24.234,,4.0964,
2000,9,1,4,0.25,,0,100,,25,,12.17,,159.91,,1879.05,,75.162,,40.152,,8.0303,
2000,9,1,5,0.25,,0,100,,20,,12.17,,96.69,,1152.14,,57.607,,20.825,,4.6566,
2000,9,1,6,0.25,,0,100,,20,,12.17,,140.65,,1543.98,,77.199,,34.684,,7.7555,
2000,9,1,7,0.25,,0,100,,29,,9.08,,164.87,,2340.02,,80.69,,38.652,,7.1776,
2000,9,1,8,0.25,,0,100,,28,,19.3,,190.52,,1928.71,,68.883,,43.932,,8.3023,
2000,9,2,1,0.0625,,0,100,,7,,15,,79.71,,385.61,,55.087,,23.244,,8.7853,
2000,9,2,2,0.0625,,0,100,,5,,21.39,,96.14,,341.11,,68.221,,27.98,,12.5132,
2000,9,2,3,0.0625,,0,100,,7,,42.65,,96.14,,465.94,,66.563,,23.361,,8.8294,
2000,9,2,4,0.0625,,0,100,,6,,22.38,,87.78,,357.04,,59.507,,27.821,,11.3578,
2000,9,2,5,0.0625,,0,100,,9,,8.78,,76.56,,378.7,,42.078,,17.827,,5.9424,
2000,9,2,6,0.0625,,0,100,,7,,16.74,,64.45,,236.79,,33.827,,16.062,,6.0707,
2000,9,2,7,0.0625,,0,100,,11,,26.46,,113.68,,798.03,,72.548,,25.726,,7.7567,
2000,9,2,8,0.0625,,0,100,,10,,12.53,,122.86,,444.4,,44.44,,38.802,,12.2703,
2000,10,1,1,0.25,,0,100,,18,,14.56,,73.85,,846.55,,47.031,,20.849,,4.9141,
2000,10,1,2,0.25,,0,100,,18,,3.39,,53.98,,431.91,,23.995,,15.94,,3.757,
2000,10,1,3,0.25,,0,100,,16,,5.56,,73.85,,518.58,,32.411,,19.136,,4.784,
2000,10,1,4,0.25,,0,100,,18,,11.17,,66.94,,617.94,,34.33,,17.99,,4.2403,
2000,10,1,5,0.25,,0,100,,17,,14.56,,66.94,,763.66,,44.921,,14.53,,3.5241,
2000,10,1,6,0.25,,0,100,,19,,5.56,,88.51,,706.13,,37.165,,22.611,,5.1873,
2000,10,1,7,0.25,,0,100,,14,,1.69,,66.94,,579.44,,41.388,,15.487,,4.1391,
2000,10,1,8,0.25,,0,100,,20,,3.39,,53.98,,577.62,,28.881,,13.745,,3.0736,
2000,10,2,1,0.0625,,0,100,,12,,3.35,,46.99,,207.99,,17.332,,13.491,,3.8945,
2000,10,2,2,0.0625,,0,100,,10,,2.03,,46.99,,223.59,,22.359,,16.277,,5.1472,
2000,10,2,3,0.0625,,0,100,,12,,2.03,,61.73,,351.12,,29.26,,19.175,,5.5353,
2000,10,2,4,0.0625,,0,100,,13,,3.35,,49.78,,328.41,,25.262,,16.786,,4.6556,
2000,10,2,5,0.0625,,0,100,,6,,9.24,,145.35,,290.91,,48.486,,49.89,,20.3674,
2000,10,2,6,0.0625,,0,100,,6,,5.93,,18.03,,63.22,,10.536,,4.956,,2.0233,
2000,10,2,7,0.0625,,0,100,,10,,8.05,,64.91,,381.4,,38.14,,18.693,,5.9113,
2000,10,2,8,0.0625,,0,100,,10,,4.13,,91.35,,594.15,,59.415,,29.898,,9.4545,
2001,1,1,1,0.25,,0,100,,18,,5.06,,65.73,,424.41,,23.578,,14.449,,3.4057,
2001,1,1,2,0.25,,0,100,,17,,2.01,,88.15,,493.63,,29.037,,20.189,,4.8965,
2001,1,1,3,0.25,,0,100,,21,,2.01,,65.73,,463.56,,22.074,,16.938,,3.6963,
2001,1,1,4,0.25,,0,100,,21,,5.06,,96.27,,944.09,,44.957,,30.154,,6.5802,
2001,1,1,5,0.25,,1,100,,10,,14.63,,113.46,,427.36,,42.736,,35.231,,11.1411,
2001,1,1,6,0.25,,0,100,,16,,3.38,,104.71,,582.93,,36.433,,32.944,,8.2361,
2001,1,1,7,0.25,,0,100,,22,,2.01,,96.27,,714.73,,32.488,,31.749,,6.7689,
2001,1,1,8,0.25,,1,100,,24,,9.29,,88.15,,1343.24,,55.968,,25.395,,5.1838,
2001,1,2,1,0.0625,,0,100,,12,,5.32,,20.82,,170.59,,14.216,,4.4,,1.2702,
2001,1,2,2,0.0625,,0,100,,17,,14.71,,24.21,,300.62,,17.683,,3.295,,0.799,
2001,1,2,3,0.0625,,0,100,,32,,12,,31.61,,636.57,,19.893,,4.256,,0.7524,
2001,1,2,4,0.0625,,0,100,,25,,5.32,,20.82,,331.1,,13.244,,3.722,,0.7445,
2001,1,2,5,0.0625,,0,100,,22,,9.52,,27.81,,416.69,,18.94,,4.545,,0.969,
2001,1,2,6,0.0625,,0,100,,21,,9.52,,20.82,,328.48,,15.642,,2.87,,0.6263,
2001,1,2,7,0.0625,,0,100,,19,,7.29,,24.21,,326.54,,17.186,,4.357,,0.9995,
2001,1,2,8,0.0625,,0,100,,28,,9.52,,24.21,,468.57,,16.735,,4.025,,0.7607,
2001,2,1,1,0.25,,1,100,,19,,4.13,,55.1,,608.93,,32.049,,16.401,,3.7627,
2001,2,1,2,0.25,,0,100,,4,,63.99,,94.33,,326.14,,81.536,,15.274,,7.637,
2001,2,1,3,0.25,,0,100,,19,,25.82,,117.56,,1383.6,,72.821,,19.903,,4.5661,
2001,2,1,4,0.25,,0,100,,21,,4.13,,130.06,,1197.36,,57.017,,35.717,,7.794,
2001,2,1,5,0.25,,0,100,,24,,15.08,,143.14,,2046.83,,85.285,,35.641,,7.2751,
2001,2,1,6,0.25,,1,100,,28,,10.73,,105.65,,1272.86,,45.459,,24.595,,4.648,
2001,2,1,7,0.25,,0,100,,9,,55.1,,73.5,,549.85,,61.094,,6.434,,2.1445,
2001,2,1,8,0.25,,0,100,,14,,10.73,,117.56,,1218.29,,87.02,,35.231,,9.4159,
2001,2,2,1,0.0625,,0,100,,20,,1.21,,20.96,,122.69,,6.135,,5.613,,1.2551,
2001,2,2,2,0.0625,,0,100,,17,,1.21,,59.11,,243.61,,14.33,,15.86,,3.8466,
2001,2,2,3,0.0625,,0,100,,21,,1.21,,22.54,,123.75,,5.893,,4.778,,1.0426,
2001,2,2,4,0.0625,,0,100,,12,,2.4,,54.7,,145.07,,12.089,,14.452,,4.1719,
2001,2,2,5,0.0625,,0,100,,12,,1.75,,68.53,,293.73,,24.477,,21.881,,6.3165,
2001,2,2,6,0.0625,,0,100,,18,,1.21,,57,,243.28,,13.516,,16.864,,3.9748,
2001,2,2,7,0.0625,,0,100,,14,,2.4,,89.84,,374.99,,26.785,,32.577,,8.7067,
2001,2,2,8,0.0625,,0,100,,10,,2.4,,89.84,,336.12,,33.612,,28.747,,9.0908,
2001,3,1,1,0.25,,1,100,,2,,6.59,,30.48,,37.07,,18.535,,16.896,,11.9475,
2001,3,1,2,0.25,,1,0,,0,,,,,,,,,,,,,
2001,3,1,3,0.25,,1,100,,8,,4.07,,20.99,,97.24,,12.155,,5.652,,1.9984,
2001,3,1,4,0.25,,1,100,,4,,6.59,,25.56,,58.5,,14.625,,8.455,,4.2273,
2001,3,1,5,0.25,,1,100,,9,,4.07,,63.43,,369.85,,41.095,,21.12,,7.0402,
2001,3,1,6,0.25,,1,100,,6,,6.59,,35.75,,106.07,,17.678,,10.055,,4.105,
2001,3,1,7,0.25,,1,100,,13,,25.56,,53.5,,523,,40.231,,9.468,,2.6258,
2001,3,1,8,0.25,,1,100,,18,,12.98,,60.04,,650.27,,36.126,,15.834,,3.7321,
2001,3,2,1,0.0625,,0,100,,19,,1.89,,41.97,,333.67,,17.561,,13.312,,3.0539,
2001,3,2,2,0.0625,,0,100,,20,,4.36,,29.28,,289.08,,14.454,,8.129,,1.8176,
2001,3,2,3,0.0625,,0,100,,20,,2.59,,38.82,,326.8,,16.34,,11.316,,2.5303,
2001,3,2,4,0.0625,,0,100,,20,,1.89,,38.82,,332.39,,16.62,,10.08,,2.2541,
2001,3,2,5,0.0625,,0,100,,11,,2.59,,14.27,,85.64,,7.786,,4.471,,1.3481,
2001,3,2,6,0.0625,,0,100,,10,,5.41,,75.95,,295.52,,29.552,,21.14,,6.685,
2001,3,2,7,0.0625,,0,100,,7,,4.36,,71.66,,211.05,,30.15,,28.545,,10.7889,
2001,3,2,8,0.0625,,0,100,,7,,2.59,,22.6,,85.88,,12.269,,8.741,,3.3037,
2001,4,1,1,0.25,,0,100,,15,,24.98,,144.39,,1079.01,,71.934,,40.155,,10.3681,
2001,4,1,2,0.25,,0,100,,13,,8.32,,91.3,,572.28,,44.021,,23.045,,6.3915,
2001,4,1,3,0.25,,0,100,,16,,24.98,,91.3,,767.09,,47.943,,17.877,,4.4692,
2001,4,1,4,0.25,,0,100,,21,,11.7,,121.8,,1143.89,,54.471,,29.058,,6.3409,
2001,4,1,5,0.25,,0,100,,8,,5.48,,121.8,,461.34,,57.667,,39.657,,14.0207,
2001,4,1,6,0.25,,0,100,,25,,8.32,,82.04,,1343.39,,53.736,,19.884,,3.9769,
2001,4,1,7,0.25,,0,100,,15,,3.2,,57.06,,472.49,,31.5,,16.289,,4.2057,
2001,4,1,8,0.25,,0,100,,8,,20.04,,49.68,,290.26,,36.283,,10.87,,3.8433,
2001,4,2,1,0.0625,,0,100,,8,,2.21,,14.43,,36.07,,4.508,,4.04,,1.4284,
2001,4,2,2,0.0625,,0,100,,14,,2.21,,47.21,,209.79,,14.985,,11.949,,3.1935,
2001,4,2,3,0.0625,,0,100,,9,,4.41,,18.78,,114.93,,12.77,,4.777,,1.5925,
2001,4,2,4,0.0625,,0,100,,7,,4.41,,105.15,,260.09,,37.155,,44.083,,16.6619,
2001,4,2,5,0.0625,,0,100,,7,,2.87,,9.39,,38.12,,5.446,,2.264,,0.8555,
2001,4,2,6,0.0625,,0,100,,17,,2.21,,13.09,,96.82,,5.696,,3.164,,0.7673,
2001,4,2,7,0.0625,,0,100,,7,,2.21,,5.28,,27.69,,3.956,,1.204,,0.4552,
2001,4,2,8,0.0625,,0,100,,9,,2.21,,17.28,,67.42,,7.491,,4.657,,1.5522,
2001,5,1,1,0.25,,1,100,,3,,18.82,,23.64,,66.09,,22.031,,2.785,,1.6082,
2001,5,1,2,0.25,,0,100,,20,,55.66,,164.05,,1710.83,,85.542,,21.215,,4.7437,
2001,5,1,3,0.25,,0,100,,15,,14.53,,164.05,,1272.47,,84.831,,44.059,,11.376,
2001,5,1,4,0.25,,1,100,,5,,41.28,,164.05,,374.36,,74.873,,51.442,,23.0058,
2001,5,1,5,0.25,,0,100,,21,,7.57,,178.8,,1568.24,,74.678,,59.004,,12.8757,
2001,5,1,6,0.25,,0,100,,11,,34.88,,111.19,,689.01,,62.638,,23.775,,7.1685,
2001,5,1,7,0.25,,0,100,,19,,7.57,,136.38,,1013.04,,53.318,,32.158,,7.3775,
2001,5,1,8,0.25,,0,100,,16,,12.58,,123.47,,836.98,,52.311,,32.945,,8.2362,
2001,5,2,1,0.0625,,0,100,,10,,22.57,,65.93,,415.77,,41.577,,13.618,,4.3062,
2001,5,2,2,0.0625,,0,100,,9,,7.86,,59.61,,347.62,,38.625,,18.729,,6.2431,
2001,5,2,3,0.0625,,0,100,,11,,19,,65.93,,400.35,,36.396,,13.636,,4.1115,
2001,5,2,4,0.0625,,0,100,,13,,2.73,,50.74,,295.6,,22.739,,14.089,,3.9077,
2001,5,2,5,0.0625,,0,100,,17,,1.63,,22.57,,149.21,,8.777,,6.851,,1.6615,
2001,5,2,6,0.0625,,0,100,,20,,1.63,,28.53,,234.36,,11.718,,9.002,,2.0129,
2001,5,2,7,0.0625,,0,100,,15,,1.63,,47.95,,324.72,,21.648,,17.713,,4.5735,
2001,5,2,8,0.0625,,0,100,,18,,2.14,,65.93,,330.03,,18.335,,17.012,,4.0098,
2001,6,1,1,0.25,,0,100,,22,,8.82,,159.86,,2092.66,,95.121,,36.654,,7.8146,
2001,6,1,2,0.25,,0,100,,17,,24.8,,93.91,,904.17,,53.186,,22.747,,5.5168,
2001,6,1,4,0.25,,1,100,,4,,20.16,,119.55,,278.73,,69.682,,54.58,,27.2899,
2001,6,1,5,0.25,,0,100,,16,,15.94,,136.21,,1029.73,,64.358,,35.588,,8.8969,
2001,6,1,6,0.25,,0,100,,26,,5.95,,119.55,,1430.06,,55.002,,30.086,,5.9004,
2001,6,1,7,0.25,,0,100,,14,,12.15,,119.55,,624.82,,44.63,,30.484,,8.1473,
2001,6,1,8,0.25,,0,100,,16,,5.95,,159.86,,1205.65,,75.353,,38.344,,9.586,
2001,6,2,1,0.0625,,0,100,,16,,2.1,,68.09,,367.41,,22.963,,17.891,,4.4727,
2001,6,2,2,0.0625,,0,100,,8,,2.84,,68.09,,197.29,,24.661,,20.119,,7.1132,
